,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome
167,2,21,0,15,2,-1.0,0
168,3,20,0,11,3,-1.0,0
169,9,19,0,12,0,-1.0,1
170,4,19,0,15,2,-1.0,0
171,K,18,0,6,3,-1.0,0
172,3,23,1,11,1,1.0,1
173,6,18,0,18,2,1.0,1
174,A,26,1,12,1,-1.0,0
175,6,17,0,18,1,-1.0,0
176,2,24,1,14,1,1.0,1
177,10,17,0,16,1,-1.0,0
178,J,17,0,14,2,-1.0,0
179,2,22,1,4,1,1.0,1
180,3,23,1,13,1,1.0,1
181,K,26,1,12,2,-1.0,0
182,3,17,0,12,2,-1.0,0
183,5,18,0,15,2,-1.0,0
184,Q,17,0,12,2,-1.0,0
185,K,20,0,16,2,-1.0,0
186,Q,17,0,8,2,-1.0,0
187,K,18,0,8,2,-1.0,0
188,5,22,1,12,1,-1.0,0
189,A,20,0,13,3,-1.0,0
190,K,21,0,20,0,-1.0,1
191,2,24,1,19,1,-1.0,0
192,4,24,1,7,3,-1.0,0
193,4,20,0,13,1,-1.0,0
194,A,21,0,16,0,-1.0,1
195,4,23,1,14,3,-1.0,0
196,J,20,0,19,1,-1.0,0
197,K,20,0,20,1,-1.0,0
198,Q,20,0,9,2,-1.0,0
199,7,23,1,12,1,-1.0,0
200,J,20,0,14,0,-1.0,1
201,8,20,0,16,3,-1.0,0
202,J,19,0,16,3,-1.0,0
203,J,19,0,18,1,-1.0,0
204,7,26,1,11,2,-1.0,0
205,4,17,0,15,2,-1.0,0
206,4,21,0,21,0,0.0,0
207,4,23,1,13,4,-1.0,0
208,6,23,1,20,1,-1.0,0
209,A,17,0,16,2,-1.0,0
210,3,17,0,21,0,1.0,0
211,8,24,1,12,1,-1.0,0
212,5,22,1,17,1,-1.0,0
213,8,25,1,14,1,1.0,1
214,9,21,0,14,1,-1.0,0
215,7,24,1,7,3,-1.0,0
216,6,23,1,9,2,-1.0,0
217,A,19,0,13,1,-1.0,0
218,5,17,0,19,2,-1.0,0
219,8,18,0,16,3,-1.0,0
220,2,19,0,13,3,-1.0,0
221,10,18,0,15,1,-1.0,0
222,2,22,1,14,1,1.0,1
223,A,17,0,13,2,-1.0,0
224,J,19,0,18,1,-1.0,0
225,4,24,1,12,2,-1.0,0
226,J,18,0,14,1,-1.0,0
227,J,21,0,13,0,-1.0,1
228,4,24,1,18,1,1.0,1
229,A,24,1,5,4,-1.0,0
230,6,23,1,16,2,-1.0,0
231,A,25,1,11,3,-1.0,0
232,4,21,0,20,1,-1.0,0
233,8,18,0,20,2,-1.0,0
234,8,23,1,15,1,-1.0,0
235,8,18,0,7,2,1.0,1
236,7,17,0,11,3,-1.0,0
237,9,19,0,16,2,-1.0,0
238,6,19,0,14,1,-1.0,0
239,K,18,0,20,1,-1.0,0
240,K,25,1,11,1,1.0,1
241,10,21,0,12,0,-1.0,1
242,K,21,0,19,0,-1.0,1
243,2,20,0,13,2,1.0,1
244,J,21,0,9,3,-1.0,0
245,9,17,0,15,3,-1.0,0
246,8,18,0,15,1,-1.0,0
247,2,23,1,8,3,-1.0,0
248,Q,18,0,15,2,-1.0,0
249,6,20,0,18,1,-1.0,0
250,K,20,0,15,2,-1.0,0
251,7,19,0,8,3,1.0,1
252,2,17,0,19,1,-1.0,0
253,A,21,0,18,0,-1.0,1
254,10,17,0,17,1,-1.0,0
255,J,20,0,19,1,-1.0,0
256,A,18,0,16,3,-1.0,0
257,2,20,0,15,1,1.0,1
258,10,24,1,13,1,-1.0,0
259,4,25,1,13,2,-1.0,0
260,10,19,0,18,1,1.0,1
261,8,17,0,13,1,1.0,1
262,3,25,1,17,1,-1.0,0
263,10,20,0,12,0,-1.0,1
264,6,18,0,9,3,-1.0,0
265,4,22,1,6,3,-1.0,0
266,4,21,0,12,3,-1.0,0
267,J,19,0,15,2,-1.0,0
268,10,24,1,14,1,-1.0,0
269,10,20,0,18,1,-1.0,0
270,A,19,0,13,2,-1.0,0
271,2,17,0,12,1,-1.0,0
