,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome,,Epoc Number,20,30,40,50,200
127,5,18,0,16,2,-1,0,,,,,,,
128,A,17,0,14,0,-1,1,,,,,,,
129,Q,25,1,19,2,-1,0,,,,,,,
130,9,19,0,18,1,-1,0,,,,,,,
131,6,17,0,12,0,-1,1,,,,,,,
132,8,18,0,21,0,1,0,,,,,,,
133,2,25,1,15,1,1,1,,,,,,,
134,10,26,1,13,0,1,0,,,,,,,
135,J,20,0,12,0,-1,1,,,,,,,
136,7,17,0,12,0,-1,1,,,,,,,
137,10,20,0,15,0,-1,1,,,,,,,
138,J,18,0,15,2,-1,0,,,,,,,
139,8,24,1,16,2,-1,0,,,,,,,
140,Q,26,1,20,1,-1,0,,,,,,,
141,K,20,0,19,0,-1,1,,,,,,,
142,4,17,0,9,3,-1,0,,,,,,,
143,Q,20,0,7,1,-1,0,,,,,,,
144,7,17,0,15,0,-1,1,,,,,,,
145,K,20,0,12,0,-1,1,,,,,,,
146,7,20,0,10,1,1,1,,,,,,,
147,4,23,1,18,1,-1,0,,,,,,,
148,3,21,0,18,0,-1,1,,,,,,,
149,2,21,0,12,1,-1,0,,,,,,,
150,5,25,1,13,0,1,0,,,,,,,
151,A,18,0,20,1,-1,0,,,,,,,
152,4,21,0,19,2,-1,0,,,,,,,
153,9,22,1,12,0,1,0,,,,,,,
154,2,26,1,17,0,1,0,,,,,,,
155,7,18,0,15,0,-1,1,,,,,,,
156,4,17,0,19,0,1,0,,,,,,,
157,9,20,0,8,1,-1,0,,,,,,,
158,5,19,0,15,1,-1,0,,,,,,,
159,6,23,1,15,2,-1,0,,,,,,,
160,3,23,1,21,0,1,0,,,,,,,
161,2,23,1,10,1,1,1,,,,,,,
162,9,17,0,20,1,-1,0,,,,,,,
163,2,20,0,8,1,-1,0,,,,,,,
164,A,21,0,18,0,-1,1,,,,,,,
165,3,17,0,17,1,-1,0,,,,,,,
166,9,20,0,18,0,-1,1,,,,,,,
167,4,18,0,19,1,1,1,,,,,,,
168,8,19,0,12,1,-1,0,,,,,,,
169,8,19,0,17,2,-1,0,,,,,,,
170,8,22,1,13,2,-1,0,,,,,,,
171,Q,22,1,12,3,-1,0,,,,,,,
172,J,20,0,14,0,-1,1,,,,,,,
173,10,18,0,13,0,-1,1,,,,,,,
174,2,22,1,7,2,-1,0,,,,,,,
175,10,18,0,4,1,-1,0,,,,,,,
176,7,21,0,21,0,0,0,,,,,,,
177,J,20,0,13,0,-1,1,,,,,,,
178,Q,21,0,15,0,-1,1,,,,,,,
179,K,24,1,13,2,-1,0,,,,,,,
180,5,21,0,16,2,-1,0,,,,,,,
181,10,18,0,20,1,-1,0,,,,,,,
182,Q,25,1,12,0,1,0,,,,,,,
183,8,19,0,21,0,1,0,,,,,,,
184,6,20,0,14,1,-1,0,,,,,,,
185,Q,19,0,17,0,-1,1,,,,,,,
186,8,17,0,21,0,1,0,,,,,,,
187,9,25,1,9,3,-1,0,,,,,,,
188,4,19,0,11,1,1,1,,,,,,,
189,2,24,1,20,0,1,0,,,,,,,
190,8,18,0,8,2,1,1,,,,,,,
191,6,26,1,16,1,1,1,,,,,,,
192,Q,19,0,11,1,-1,0,,,,,,,
193,5,22,1,5,2,-1,0,,,,,,,
194,2,23,1,7,1,1,1,,,,,,,
