,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome,,Epoc Number,20,30,40,50,200
10156,K,18,0,10,2,-1,0,,,,,,,
10157,A,17,0,16,2,-1,0,,,,,,,
10158,3,19,0,9,3,1,1,,,,,,,
10159,Q,26,1,12,3,-1,0,,,,,,,
10160,7,17,0,16,1,-1,0,,,,,,,
10161,6,22,1,12,1,-1,0,,,,,,,
10162,10,19,0,17,0,-1,1,,,,,,,
10163,4,17,0,16,2,-1,0,,,,,,,
10164,10,21,0,19,1,-1,0,,,,,,,
10165,Q,19,0,8,3,-1,0,,,,,,,
10166,A,21,0,4,0,-1,1,,,,,,,
10167,3,17,0,13,1,-1,0,,,,,,,
10168,8,17,0,21,0,1,0,,,,,,,
10169,J,20,0,11,1,-1,0,,,,,,,
10170,10,26,1,12,0,1,0,,,,,,,
10171,6,21,0,18,1,-1,0,,,,,,,
10172,9,19,0,12,0,-1,1,,,,,,,
10173,4,23,1,10,1,1,1,,,,,,,
10174,A,25,1,13,0,1,0,,,,,,,
10175,Q,20,0,18,0,-1,1,,,,,,,
10176,8,18,0,12,0,-1,1,,,,,,,
10177,6,20,0,13,2,-1,0,,,,,,,
10178,2,18,0,20,1,1,1,,,,,,,
10179,3,20,0,12,2,-1,0,,,,,,,
10180,7,20,0,15,3,-1,0,,,,,,,
10181,7,18,0,11,2,-1,0,,,,,,,
10182,3,22,1,13,1,-1,0,,,,,,,
10183,10,26,1,12,0,1,0,,,,,,,
10184,2,21,0,16,0,-1,1,,,,,,,
10185,10,19,0,20,1,-1,0,,,,,,,
10186,A,18,0,6,1,-1,0,,,,,,,
10187,9,19,0,12,0,-1,1,,,,,,,
10188,5,19,0,12,2,-1,0,,,,,,,
10189,K,24,1,15,3,-1,0,,,,,,,
10190,6,22,1,16,1,1,1,,,,,,,
10191,K,18,0,19,1,-1,0,,,,,,,
10192,9,21,0,11,2,-1,0,,,,,,,
10193,9,17,0,10,2,-1,0,,,,,,,
10194,K,20,0,9,1,-1,0,,,,,,,
10195,6,26,1,13,0,1,0,,,,,,,
10196,7,21,0,15,2,-1,0,,,,,,,
10197,3,22,1,20,1,-1,0,,,,,,,
10198,3,22,1,11,2,-1,0,,,,,,,
10199,7,17,0,13,2,-1,0,,,,,,,
10200,10,20,0,7,1,-1,0,,,,,,,
10201,Q,18,0,14,0,-1,1,,,,,,,
10202,A,19,0,9,2,1,1,,,,,,,
10203,K,18,0,20,1,-1,0,,,,,,,
10204,Q,21,0,8,0,-1,1,,,,,,,
10205,10,20,0,7,1,-1,0,,,,,,,
10206,5,22,1,21,0,1,0,,,,,,,
10207,2,17,0,15,1,0,1,,,,,,,
10208,A,21,0,17,0,-1,1,,,,,,,
10209,10,18,0,17,2,-1,0,,,,,,,
10210,8,19,0,19,1,-1,0,,,,,,,
10211,7,17,0,13,0,-1,1,,,,,,,
10212,9,23,1,10,2,-1,0,,,,,,,
10213,6,17,0,17,1,-1,0,,,,,,,
10214,6,26,1,16,2,-1,0,,,,,,,
10215,10,20,0,16,0,-1,1,,,,,,,
10216,K,17,0,17,1,-1,0,,,,,,,
10217,5,25,1,18,1,1,1,,,,,,,
10218,K,25,1,9,2,-1,0,,,,,,,
10219,K,19,0,12,0,-1,1,,,,,,,
10220,Q,20,0,17,0,-1,1,,,,,,,
10221,Q,18,0,17,1,-1,0,,,,,,,
10222,3,19,0,12,1,1,1,,,,,,,
10223,K,22,1,13,2,-1,0,,,,,,,
10224,A,20,0,21,0,1,0,,,,,,,
10225,8,17,0,15,2,-1,0,,,,,,,
10226,4,18,0,16,1,-1,0,,,,,,,
10227,5,17,0,20,0,1,0,,,,,,,
10228,A,18,0,20,1,-1,0,,,,,,,
10229,6,17,0,18,1,-1,0,,,,,,,
10230,4,24,1,21,0,1,0,,,,,,,
10231,K,20,0,12,0,-1,1,,,,,,,
10232,8,24,1,9,2,-1,0,,,,,,,
10233,Q,19,0,6,1,-1,0,,,,,,,
10234,9,19,0,14,0,-1,1,,,,,,,
10235,3,18,0,7,2,-1,0,,,,,,,
10236,A,21,0,15,2,-1,0,,,,,,,
10237,8,18,0,13,0,-1,1,,,,,,,
10238,3,21,0,12,2,-1,0,,,,,,,
10239,2,23,1,16,1,-1,0,,,,,,,
10240,9,23,1,14,4,-1,0,,,,,,,
10241,J,20,0,18,0,-1,1,,,,,,,
10242,Q,18,0,11,1,1,1,,,,,,,
10243,9,17,0,15,0,-1,1,,,,,,,
10244,K,20,0,18,0,-1,1,,,,,,,
10245,J,21,0,20,0,-1,1,,,,,,,
10246,Q,20,0,15,0,-1,1,,,,,,,
10247,Q,18,0,6,1,-1,0,,,,,,,
10248,4,19,0,11,2,-1,0,,,,,,,
10249,8,18,0,13,0,-1,1,,,,,,,
10250,Q,20,0,11,2,-1,0,,,,,,,
10251,5,21,0,9,2,-1,0,,,,,,,
10252,Q,17,0,19,1,-1,0,,,,,,,
10253,9,18,0,13,0,-1,1,,,,,,,
10254,J,21,0,14,2,-1,0,,,,,,,
10255,6,23,1,14,0,1,0,,,,,,,
10256,10,20,0,18,2,-1,0,,,,,,,
10257,J,18,0,20,1,-1,0,,,,,,,
10258,6,17,0,9,1,-1,0,,,,,,,
10259,A,21,0,13,0,-1,1,,,,,,,
10260,7,24,1,19,1,-1,0,,,,,,,
10261,A,21,0,5,0,-1,1,,,,,,,
10262,4,23,1,17,1,-1,0,,,,,,,
10263,10,17,0,17,1,-1,0,,,,,,,
10264,9,18,0,12,0,-1,1,,,,,,,
10265,7,17,0,20,1,-1,0,,,,,,,
10266,3,20,0,15,2,-1,0,,,,,,,
10267,5,25,1,17,1,-1,0,,,,,,,
10268,10,19,0,20,1,-1,0,,,,,,,
10269,A,21,0,16,0,-1,1,,,,,,,
10270,9,19,0,12,0,-1,1,,,,,,,
10271,4,20,0,13,2,1,1,,,,,,,
10272,A,21,0,13,0,-1,1,,,,,,,
10273,Q,20,0,15,0,-1,1,,,,,,,
10274,10,20,0,6,1,-1,0,,,,,,,
10275,J,20,0,12,0,-1,1,,,,,,,
10276,K,21,0,11,0,-1,1,,,,,,,
10277,6,22,1,12,1,-1,0,,,,,,,
10278,8,20,0,9,3,-1,0,,,,,,,
10279,9,19,0,15,0,-1,1,,,,,,,
10280,9,19,0,16,0,-1,1,,,,,,,
10281,J,18,0,20,1,-1,0,,,,,,,
10282,9,23,1,21,0,1,0,,,,,,,
10283,A,21,0,21,0,0,0,,,,,,,
10284,8,23,1,13,1,-1,0,,,,,,,
10285,9,25,1,20,1,-1,0,,,,,,,
10286,A,21,0,20,1,-1,0,,,,,,,
10287,3,19,0,14,1,0,1,,,,,,,
10288,2,22,1,13,1,-1,0,,,,,,,
10289,8,21,0,14,1,-1,0,,,,,,,
10290,Q,18,0,19,1,-1,0,,,,,,,
10291,A,21,0,14,0,-1,1,,,,,,,
10292,5,23,1,20,1,-1,0,,,,,,,
10293,5,22,1,19,1,-1,0,,,,,,,
10294,2,26,1,15,1,1,1,,,,,,,
10295,Q,24,1,13,2,-1,0,,,,,,,
10296,5,25,1,16,1,-1,0,,,,,,,
10297,9,18,0,18,2,-1,0,,,,,,,
10298,4,18,0,11,2,-1,0,,,,,,,
10299,10,20,0,12,0,-1,1,,,,,,,
10300,7,21,0,16,1,0,1,,,,,,,
10301,6,22,1,13,2,1,1,,,,,,,
10302,5,17,0,11,1,1,1,,,,,,,
10303,7,19,0,21,0,1,0,,,,,,,
10304,3,22,1,17,3,-1,0,,,,,,,
10305,2,18,0,19,0,1,0,,,,,,,
10306,4,18,0,14,2,-1,0,,,,,,,
10307,4,20,0,16,3,-1,0,,,,,,,
10308,4,22,1,15,1,-1,0,,,,,,,
10309,2,21,0,4,3,-1,0,,,,,,,
10310,8,18,0,15,0,-1,1,,,,,,,
10311,10,17,0,11,2,-1,0,,,,,,,
10312,10,17,0,15,0,-1,1,,,,,,,
10313,8,18,0,16,0,-1,1,,,,,,,
10314,6,17,0,12,0,-1,1,,,,,,,
10315,4,19,0,11,1,1,1,,,,,,,
10316,K,20,0,16,0,-1,1,,,,,,,
10317,4,21,0,12,2,0,1,,,,,,,
10318,8,18,0,19,2,-1,0,,,,,,,
10319,2,21,0,16,2,-1,0,,,,,,,
10320,Q,18,0,12,0,-1,1,,,,,,,
10321,7,21,0,14,0,-1,1,,,,,,,
10322,K,20,0,15,0,-1,1,,,,,,,
10323,A,18,0,16,0,-1,1,,,,,,,
10324,A,20,0,5,2,-1,0,,,,,,,
10325,A,21,0,17,0,-1,1,,,,,,,
10326,Q,22,1,21,0,1,0,,,,,,,
10327,4,21,0,12,1,-1,0,,,,,,,
10328,6,18,0,21,0,1,0,,,,,,,
10329,K,17,0,19,1,-1,0,,,,,,,
10330,8,18,0,12,3,-1,0,,,,,,,
10331,6,18,0,9,2,-1,0,,,,,,,
10332,A,25,1,14,2,1,1,,,,,,,
10333,10,23,1,13,2,1,1,,,,,,,
10334,6,21,0,11,1,-1,0,,,,,,,
10335,6,21,0,17,1,-1,0,,,,,,,
10336,10,25,1,10,2,-1,0,,,,,,,
10337,8,18,0,21,0,1,0,,,,,,,
10338,9,17,0,16,3,-1,0,,,,,,,
10339,K,20,0,20,1,-1,0,,,,,,,
10340,3,18,0,15,1,-1,0,,,,,,,
10341,5,20,0,17,1,-1,0,,,,,,,
10342,9,21,0,15,1,-1,0,,,,,,,
10343,10,17,0,18,1,-1,0,,,,,,,
10344,2,18,0,20,1,-1,0,,,,,,,
10345,8,20,0,18,1,-1,0,,,,,,,
10346,5,25,1,16,2,-1,0,,,,,,,
10347,K,20,0,19,0,-1,1,,,,,,,
10348,5,17,0,12,3,-1,0,,,,,,,
10349,A,21,0,13,0,-1,1,,,,,,,
10350,5,26,1,20,1,1,1,,,,,,,
10351,5,18,0,9,3,-1,0,,,,,,,
10352,A,22,1,15,2,-1,0,,,,,,,
10353,4,19,0,14,2,1,1,,,,,,,
10354,10,26,1,18,2,-1,0,,,,,,,
10355,6,22,1,17,2,-1,0,,,,,,,
10356,6,20,0,20,1,-1,0,,,,,,,
10357,J,25,1,20,1,-1,0,,,,,,,
10358,A,20,0,20,1,-1,0,,,,,,,
10359,Q,20,0,14,0,-1,1,,,,,,,
10360,J,20,0,11,1,-1,0,,,,,,,
10361,4,21,0,13,1,-1,0,,,,,,,
10362,7,21,0,12,1,0,1,,,,,,,
10363,7,17,0,17,1,-1,0,,,,,,,
10364,9,20,0,18,0,-1,1,,,,,,,
10365,7,26,1,13,0,1,0,,,,,,,
10366,2,19,0,13,1,-1,0,,,,,,,
10367,2,21,0,13,1,-1,0,,,,,,,
10368,9,17,0,19,2,-1,0,,,,,,,
10369,3,18,0,11,3,-1,0,,,,,,,
10370,10,18,0,20,1,-1,0,,,,,,,
10371,2,18,0,20,1,-1,0,,,,,,,
10372,10,17,0,14,0,-1,1,,,,,,,
10373,3,20,0,18,1,-1,0,,,,,,,
10374,A,17,0,15,0,-1,1,,,,,,,
10375,2,21,0,14,2,-1,0,,,,,,,
10376,2,21,0,15,2,-1,0,,,,,,,
10377,9,19,0,9,3,-1,0,,,,,,,
10378,K,21,0,13,0,-1,1,,,,,,,
10379,6,17,0,13,0,-1,1,,,,,,,
10380,9,22,1,20,1,-1,0,,,,,,,
10381,J,25,1,19,1,-1,0,,,,,,,
10382,A,21,0,20,0,-1,1,,,,,,,
10383,2,21,0,6,2,-1,0,,,,,,,
10384,K,20,0,12,0,-1,1,,,,,,,
10385,Q,18,0,20,1,-1,0,,,,,,,
10386,3,18,0,21,0,1,0,,,,,,,
10387,2,23,1,16,1,-1,0,,,,,,,
10388,7,22,1,12,2,-1,0,,,,,,,
10389,8,18,0,11,1,1,1,,,,,,,
10390,7,26,1,7,2,-1,0,,,,,,,
10391,7,18,0,18,1,-1,0,,,,,,,
10392,K,26,1,14,0,1,0,,,,,,,
10393,3,23,1,18,1,-1,0,,,,,,,
10394,A,21,0,6,0,-1,1,,,,,,,
10395,A,19,0,15,0,-1,1,,,,,,,
10396,7,25,1,18,1,-1,0,,,,,,,
10397,5,24,1,13,0,1,0,,,,,,,
10398,10,20,0,8,1,-1,0,,,,,,,
10399,K,20,0,13,0,-1,1,,,,,,,
10400,Q,19,0,20,1,-1,0,,,,,,,
10401,9,21,0,16,2,-1,0,,,,,,,
10402,4,20,0,18,1,-1,0,,,,,,,
10403,A,22,1,12,1,-1,0,,,,,,,
10404,8,17,0,10,1,1,1,,,,,,,
10405,10,19,0,14,0,-1,1,,,,,,,
10406,9,19,0,21,0,1,0,,,,,,,
10407,9,19,0,12,0,-1,1,,,,,,,
10408,2,19,0,11,2,0,1,,,,,,,
10409,4,26,1,19,0,1,0,,,,,,,
10410,5,24,1,21,0,1,0,,,,,,,
10411,5,22,1,20,1,-1,0,,,,,,,
10412,8,20,0,20,1,-1,0,,,,,,,
10413,J,20,0,19,2,1,1,,,,,,,
10414,2,18,0,9,1,1,1,,,,,,,
10415,5,25,1,12,1,-1,0,,,,,,,
10416,9,19,0,15,0,-1,1,,,,,,,
10417,9,19,0,14,2,-1,0,,,,,,,
10418,3,18,0,18,1,-1,0,,,,,,,
10419,6,25,1,8,3,-1,0,,,,,,,
10420,K,18,0,14,0,-1,1,,,,,,,
10421,4,18,0,18,1,1,1,,,,,,,
10422,4,23,1,19,0,1,0,,,,,,,
10423,Q,18,0,12,0,-1,1,,,,,,,
10424,6,17,0,18,1,-1,0,,,,,,,
10425,6,20,0,8,1,-1,0,,,,,,,
10426,A,21,0,12,0,-1,1,,,,,,,
10427,K,21,0,15,0,-1,1,,,,,,,
10428,Q,18,0,12,0,-1,1,,,,,,,
10429,8,19,0,19,1,-1,0,,,,,,,
10430,A,20,0,7,1,-1,0,,,,,,,
10431,5,24,1,17,2,-1,0,,,,,,,
10432,J,20,0,20,1,-1,0,,,,,,,
10433,6,19,0,13,0,-1,1,,,,,,,
10434,7,17,0,17,1,-1,0,,,,,,,
10435,5,19,0,17,1,-1,0,,,,,,,
10436,4,22,1,12,0,1,0,,,,,,,
10437,8,17,0,13,0,-1,1,,,,,,,
10438,2,22,1,20,1,-1,0,,,,,,,
10439,6,18,0,18,1,-1,0,,,,,,,
10440,9,19,0,18,3,-1,0,,,,,,,
10441,7,17,0,18,1,-1,0,,,,,,,
10442,5,21,0,12,1,0,1,,,,,,,
10443,8,25,1,20,1,-1,0,,,,,,,
10444,5,19,0,13,1,1,1,,,,,,,
10445,3,19,0,13,1,-1,0,,,,,,,
10446,K,23,1,13,1,1,1,,,,,,,
10447,5,25,1,10,2,-1,0,,,,,,,
10448,10,20,0,6,1,-1,0,,,,,,,
10449,10,17,0,21,0,1,0,,,,,,,
10450,Q,20,0,12,0,-1,1,,,,,,,
10451,J,20,0,16,0,-1,1,,,,,,,
10452,9,24,1,15,1,1,1,,,,,,,
10453,K,24,1,17,1,-1,0,,,,,,,
10454,9,19,0,10,2,-1,0,,,,,,,
10455,2,19,0,8,1,0,1,,,,,,,
10456,8,18,0,17,2,-1,0,,,,,,,
10457,5,20,0,13,3,-1,0,,,,,,,
10458,A,20,0,14,0,-1,1,,,,,,,
10459,8,19,0,9,3,-1,0,,,,,,,
10460,J,17,0,16,2,1,1,,,,,,,
10461,6,17,0,21,0,1,0,,,,,,,
10462,K,23,1,7,3,-1,0,,,,,,,
10463,9,17,0,13,1,-1,0,,,,,,,
10464,6,24,1,17,1,-1,0,,,,,,,
10465,4,22,1,16,4,-1,0,,,,,,,
10466,3,22,1,20,1,-1,0,,,,,,,
10467,K,20,0,13,0,-1,1,,,,,,,
10468,2,19,0,17,1,-1,0,,,,,,,
10469,K,18,0,13,0,-1,1,,,,,,,
10470,K,21,0,10,1,0,1,,,,,,,
10471,2,25,1,14,1,-1,0,,,,,,,
10472,10,18,0,7,2,-1,0,,,,,,,
10473,5,17,0,17,1,-1,0,,,,,,,
10474,J,20,0,11,1,-1,0,,,,,,,
10475,9,19,0,13,0,-1,1,,,,,,,
10476,8,18,0,8,2,-1,0,,,,,,,
10477,4,17,0,13,0,-1,1,,,,,,,
10478,7,17,0,16,2,-1,0,,,,,,,
10479,7,19,0,9,3,-1,0,,,,,,,
10480,2,17,0,19,0,1,0,,,,,,,
10481,9,17,0,14,0,-1,1,,,,,,,
10482,3,22,1,12,1,1,1,,,,,,,
10483,3,17,0,9,2,-1,0,,,,,,,
10484,K,20,0,15,0,-1,1,,,,,,,
10485,Q,23,1,14,3,-1,0,,,,,,,
10486,8,21,0,14,1,-1,0,,,,,,,
10487,9,19,0,13,0,-1,1,,,,,,,
10488,K,19,0,17,0,-1,1,,,,,,,
10489,K,20,0,20,1,-1,0,,,,,,,
10490,5,22,1,13,2,1,1,,,,,,,
10491,7,23,1,15,2,-1,0,,,,,,,
10492,6,21,0,14,0,-1,1,,,,,,,
10493,3,24,1,6,2,-1,0,,,,,,,
10494,7,19,0,17,2,-1,0,,,,,,,
10495,9,19,0,12,1,-1,0,,,,,,,
10496,A,23,1,21,0,1,0,,,,,,,
10497,9,19,0,17,0,-1,1,,,,,,,
10498,A,21,0,14,0,-1,1,,,,,,,
10499,9,19,0,10,2,-1,0,,,,,,,
10500,10,19,0,15,0,-1,1,,,,,,,
10501,8,23,1,6,3,-1,0,,,,,,,
10502,K,20,0,19,0,-1,1,,,,,,,
10503,6,18,0,18,1,1,1,,,,,,,
10504,4,20,0,19,2,-1,0,,,,,,,
10505,K,19,0,16,0,-1,1,,,,,,,
10506,7,18,0,13,1,1,1,,,,,,,
10507,J,17,0,13,0,-1,1,,,,,,,
10508,8,21,0,15,1,0,1,,,,,,,
10509,5,17,0,12,3,-1,0,,,,,,,
10510,3,22,1,19,1,1,1,,,,,,,
10511,Q,24,1,6,2,1,1,,,,,,,
10512,10,18,0,11,1,1,1,,,,,,,
10513,A,22,1,16,1,-1,0,,,,,,,
10514,4,24,1,5,1,1,1,,,,,,,
10515,9,19,0,13,0,-1,1,,,,,,,
10516,5,17,0,14,1,-1,0,,,,,,,
10517,6,25,1,16,2,1,1,,,,,,,
10518,5,17,0,18,2,-1,0,,,,,,,
10519,A,20,0,20,1,1,1,,,,,,,
10520,10,19,0,18,1,-1,0,,,,,,,
10521,10,25,1,10,2,1,1,,,,,,,
10522,5,25,1,16,1,-1,0,,,,,,,
10523,K,20,0,17,0,-1,1,,,,,,,
10524,2,25,1,19,4,-1,0,,,,,,,
10525,2,18,0,12,1,-1,0,,,,,,,
10526,J,21,0,14,2,-1,0,,,,,,,
10527,3,21,0,18,2,-1,0,,,,,,,
10528,A,19,0,17,1,-1,0,,,,,,,
10529,4,24,1,16,2,-1,0,,,,,,,
10530,10,21,0,13,2,-1,0,,,,,,,
10531,7,24,1,17,1,-1,0,,,,,,,
10532,K,19,0,20,1,-1,0,,,,,,,
10533,2,17,0,11,2,1,1,,,,,,,
10534,6,20,0,15,2,-1,0,,,,,,,
10535,10,20,0,21,0,1,0,,,,,,,
10536,9,17,0,8,1,1,1,,,,,,,
10537,4,19,0,18,1,-1,0,,,,,,,
10538,K,20,0,18,0,-1,1,,,,,,,
10539,5,20,0,15,1,1,1,,,,,,,
10540,Q,18,0,20,1,-1,0,,,,,,,
10541,5,19,0,21,0,1,0,,,,,,,
10542,J,20,0,19,1,-1,0,,,,,,,
10543,J,18,0,14,0,-1,1,,,,,,,
10544,5,25,1,4,1,1,1,,,,,,,
10545,Q,19,0,16,0,-1,1,,,,,,,
10546,5,24,1,16,1,-1,0,,,,,,,
10547,A,17,0,14,0,-1,1,,,,,,,
10548,6,21,0,5,3,-1,0,,,,,,,
10549,A,20,0,21,0,1,0,,,,,,,
10550,Q,18,0,7,1,-1,0,,,,,,,
10551,6,20,0,17,2,-1,0,,,,,,,
10552,7,26,1,13,3,-1,0,,,,,,,
10553,J,20,0,13,0,-1,1,,,,,,,
10554,J,20,0,10,1,-1,0,,,,,,,
10555,9,17,0,17,1,-1,0,,,,,,,
10556,5,22,1,6,3,-1,0,,,,,,,
10557,4,17,0,18,1,-1,0,,,,,,,
10558,9,23,1,18,1,-1,0,,,,,,,
10559,3,24,1,16,4,-1,0,,,,,,,
10560,Q,20,0,6,1,-1,0,,,,,,,
10561,J,18,0,21,0,1,0,,,,,,,
10562,3,18,0,18,1,-1,0,,,,,,,
10563,Q,17,0,14,0,-1,1,,,,,,,
10564,J,20,0,8,1,-1,0,,,,,,,
10565,3,20,0,16,3,-1,0,,,,,,,
10566,6,25,1,10,3,1,1,,,,,,,
10567,9,20,0,12,0,-1,1,,,,,,,
10568,7,19,0,14,1,1,1,,,,,,,
10569,J,20,0,19,0,-1,1,,,,,,,
10570,10,20,0,7,1,-1,0,,,,,,,
10571,7,26,1,6,3,-1,0,,,,,,,
10572,K,17,0,20,1,-1,0,,,,,,,
10573,5,25,1,20,2,-1,0,,,,,,,
10574,2,17,0,13,2,-1,0,,,,,,,
10575,7,22,1,16,1,-1,0,,,,,,,
10576,A,21,0,18,0,-1,1,,,,,,,
10577,6,26,1,16,2,1,1,,,,,,,
10578,3,20,0,15,1,-1,0,,,,,,,
10579,3,18,0,19,0,1,0,,,,,,,
10580,4,20,0,20,1,-1,0,,,,,,,
10581,8,17,0,20,1,-1,0,,,,,,,
10582,8,18,0,19,1,-1,0,,,,,,,
10583,Q,25,1,15,1,-1,0,,,,,,,
10584,2,22,1,5,2,-1,0,,,,,,,
10585,3,23,1,11,1,1,1,,,,,,,
10586,J,22,1,14,0,1,0,,,,,,,
10587,3,20,0,20,1,-1,0,,,,,,,
10588,K,21,0,17,1,-1,0,,,,,,,
10589,J,20,0,13,0,-1,1,,,,,,,
10590,6,20,0,20,1,-1,0,,,,,,,
10591,5,21,0,16,1,-1,0,,,,,,,
10592,Q,19,0,10,1,1,1,,,,,,,
10593,Q,21,0,18,2,-1,0,,,,,,,
10594,6,20,0,15,2,-1,0,,,,,,,
10595,4,20,0,21,0,1,0,,,,,,,
10596,2,22,1,16,1,-1,0,,,,,,,
10597,5,24,1,20,1,-1,0,,,,,,,
10598,Q,20,0,20,1,-1,0,,,,,,,
10599,4,26,1,6,2,-1,0,,,,,,,
10600,A,19,0,13,0,-1,1,,,,,,,
10601,10,19,0,10,2,-1,0,,,,,,,
10602,5,25,1,13,0,1,0,,,,,,,
10603,5,18,0,18,3,-1,0,,,,,,,
10604,5,22,1,14,2,-1,0,,,,,,,
10605,3,22,1,20,1,-1,0,,,,,,,
10606,8,20,0,15,1,-1,0,,,,,,,
10607,K,18,0,16,0,-1,1,,,,,,,
10608,K,20,0,10,2,-1,0,,,,,,,
10609,5,21,0,17,1,-1,0,,,,,,,
10610,K,22,1,18,2,-1,0,,,,,,,
10611,A,20,0,20,1,-1,0,,,,,,,
10612,10,17,0,19,1,-1,0,,,,,,,
10613,3,20,0,17,1,-1,0,,,,,,,
10614,4,17,0,18,2,-1,0,,,,,,,
10615,5,24,1,17,0,1,0,,,,,,,
10616,7,17,0,20,1,-1,0,,,,,,,
10617,K,20,0,10,1,-1,0,,,,,,,
10618,10,20,0,14,0,-1,1,,,,,,,
10619,A,18,0,15,0,-1,1,,,,,,,
10620,4,17,0,21,0,1,0,,,,,,,
10621,5,18,0,10,1,-1,0,,,,,,,
10622,3,20,0,20,1,-1,0,,,,,,,
10623,4,23,1,15,1,1,1,,,,,,,
10624,A,17,0,11,2,-1,0,,,,,,,
10625,10,18,0,13,1,-1,0,,,,,,,
10626,10,20,0,20,1,1,1,,,,,,,
10627,4,19,0,17,1,-1,0,,,,,,,
10628,9,18,0,20,1,-1,0,,,,,,,
10629,6,19,0,15,1,-1,0,,,,,,,
10630,8,17,0,12,0,-1,1,,,,,,,
10631,2,23,1,16,1,-1,0,,,,,,,
10632,8,25,1,14,2,-1,0,,,,,,,
10633,3,25,1,16,1,-1,0,,,,,,,
10634,2,21,0,14,2,-1,0,,,,,,,
10635,8,18,0,14,0,-1,1,,,,,,,
10636,A,21,0,15,0,-1,1,,,,,,,
10637,3,23,1,12,2,-1,0,,,,,,,
10638,A,17,0,16,1,-1,0,,,,,,,
10639,A,22,1,11,1,1,1,,,,,,,
10640,J,18,0,9,1,-1,0,,,,,,,
10641,A,19,0,8,2,-1,0,,,,,,,
10642,K,20,0,15,0,-1,1,,,,,,,
10643,10,21,0,13,0,-1,1,,,,,,,
10644,6,21,0,14,0,-1,1,,,,,,,
10645,7,21,0,19,2,-1,0,,,,,,,
10646,5,22,1,12,1,1,1,,,,,,,
10647,4,21,0,13,1,-1,0,,,,,,,
10648,3,19,0,17,1,-1,0,,,,,,,
10649,8,18,0,20,1,-1,0,,,,,,,
10650,3,17,0,15,2,-1,0,,,,,,,
10651,5,25,1,20,1,1,1,,,,,,,
10652,3,23,1,9,2,-1,0,,,,,,,
10653,8,18,0,11,2,-1,0,,,,,,,
10654,K,18,0,18,1,-1,0,,,,,,,
10655,J,17,0,16,2,-1,0,,,,,,,
10656,K,21,0,17,0,-1,1,,,,,,,
10657,3,17,0,20,0,1,0,,,,,,,
10658,J,17,0,7,2,-1,0,,,,,,,
10659,4,21,0,14,2,0,1,,,,,,,
10660,5,24,1,12,0,1,0,,,,,,,
10661,K,26,1,18,1,-1,0,,,,,,,
10662,2,17,0,9,2,-1,0,,,,,,,
10663,7,17,0,15,0,-1,1,,,,,,,
10664,K,21,0,17,1,-1,0,,,,,,,
10665,10,23,1,15,2,1,1,,,,,,,
10666,A,21,0,13,0,-1,1,,,,,,,
10667,Q,19,0,6,1,-1,0,,,,,,,
10668,7,18,0,10,2,-1,0,,,,,,,
10669,J,21,0,15,0,-1,1,,,,,,,
10670,K,20,0,12,0,-1,1,,,,,,,
10671,3,25,1,9,1,1,1,,,,,,,
10672,K,19,0,20,1,-1,0,,,,,,,
10673,K,18,0,19,1,-1,0,,,,,,,
10674,A,21,0,17,0,-1,1,,,,,,,
10675,10,20,0,20,1,-1,0,,,,,,,
10676,3,24,1,9,2,-1,0,,,,,,,
10677,4,23,1,16,1,-1,0,,,,,,,
10678,4,19,0,17,1,1,1,,,,,,,
10679,A,19,0,16,0,-1,1,,,,,,,
10680,4,17,0,19,1,-1,0,,,,,,,
10681,3,26,1,12,3,-1,0,,,,,,,
10682,10,20,0,16,0,-1,1,,,,,,,
10683,6,24,1,11,2,-1,0,,,,,,,
10684,4,21,0,14,2,-1,0,,,,,,,
10685,J,20,0,9,1,-1,0,,,,,,,
10686,10,18,0,13,0,-1,1,,,,,,,
10687,6,17,0,11,1,-1,0,,,,,,,
10688,K,20,0,16,0,-1,1,,,,,,,
10689,4,24,1,15,1,-1,0,,,,,,,
10690,10,19,0,13,2,-1,0,,,,,,,
10691,6,24,1,20,1,1,1,,,,,,,
10692,J,20,0,20,1,-1,0,,,,,,,
10693,9,22,1,13,1,-1,0,,,,,,,
10694,9,19,0,15,0,-1,1,,,,,,,
10695,7,18,0,12,2,-1,0,,,,,,,
10696,8,18,0,14,0,-1,1,,,,,,,
10697,J,22,1,14,1,-1,0,,,,,,,
10698,2,22,1,20,1,-1,0,,,,,,,
10699,2,21,0,13,1,-1,0,,,,,,,
10700,6,22,1,19,1,-1,0,,,,,,,
10701,K,20,0,13,0,-1,1,,,,,,,
10702,8,17,0,20,1,-1,0,,,,,,,
10703,5,20,0,17,1,-1,0,,,,,,,
10704,9,17,0,17,1,-1,0,,,,,,,
10705,5,17,0,18,2,-1,0,,,,,,,
10706,A,21,0,6,3,-1,0,,,,,,,
10707,10,21,0,13,0,-1,1,,,,,,,
10708,4,24,1,11,1,1,1,,,,,,,
10709,4,19,0,12,2,0,1,,,,,,,
10710,5,23,1,14,2,-1,0,,,,,,,
10711,4,20,0,11,2,-1,0,,,,,,,
10712,4,17,0,17,2,1,1,,,,,,,
10713,10,21,0,10,2,-1,0,,,,,,,
10714,8,22,1,15,2,-1,0,,,,,,,
10715,2,22,1,16,3,-1,0,,,,,,,
