,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome,#Change these outputs in the simulator to get to the correct data.
178,K,20,0,14,0,-1,1,
179,6,22,1,13,0,1,0,
180,A,17,0,20,0,1,0,
181,6,24,1,17,0,1,0,
182,K,19,0,10,1,1,1,
183,2,21,0,15,0,-1,1,
184,7,17,0,15,0,-1,1,
185,6,18,0,19,0,1,0,
186,J,18,0,8,1,-1,0,
187,K,20,0,20,0,0,0,
188,7,20,0,8,1,-1,0,
189,5,19,0,14,0,-1,1,
190,4,25,1,18,0,1,0,
191,8,20,0,14,0,-1,1,
192,Q,21,0,20,0,-1,1,
193,6,20,0,16,0,-1,1,
194,Q,20,0,12,0,-1,1,
195,8,19,0,19,0,0,0,
196,6,19,0,17,0,-1,1,
197,Q,20,0,13,0,-1,1,
198,K,20,0,12,0,-1,1,
199,9,22,1,8,1,1,1,
200,J,19,0,15,0,-1,1,
201,3,23,1,5,1,1,1,
202,7,17,0,6,1,-1,0,
203,Q,20,0,14,0,-1,1,
204,7,22,1,17,0,1,0,
205,3,18,0,13,0,-1,1,
206,5,18,0,12,0,-1,1,
207,K,17,0,18,0,1,0,
208,8,17,0,8,1,0,1,
209,5,23,1,12,0,1,0,
210,4,20,0,17,0,-1,1,
211,Q,20,0,14,0,-1,1,
212,K,20,0,14,0,-1,1,
213,2,20,0,12,0,-1,1,
214,8,19,0,12,0,-1,1,
215,4,20,0,19,0,-1,1,
216,8,17,0,20,0,1,0,
217,A,21,0,7,0,-1,1,
218,3,23,1,21,0,1,0,
219,2,19,0,13,0,-1,1,
220,9,19,0,14,0,-1,1,
221,Q,20,0,4,1,-1,0,
222,9,19,0,7,1,-1,0,
223,7,17,0,19,0,1,0,
224,6,22,1,17,0,1,0,
225,10,22,1,16,0,1,0,
226,9,19,0,14,0,-1,1,
227,7,19,0,17,0,-1,1,
228,10,20,0,7,1,0,1,
229,4,17,0,6,1,0,1,
230,10,18,0,13,0,-1,1,
231,7,17,0,18,0,1,0,
232,10,20,0,19,0,-1,1,
233,K,24,1,17,0,1,0,
234,6,17,0,12,0,-1,1,
235,A,17,0,21,0,1,0,
236,Q,19,0,8,1,-1,0,
237,9,19,0,11,1,1,1,
238,6,25,1,20,0,1,0,
239,Q,18,0,19,0,1,0,
240,3,19,0,7,1,-1,0,
241,6,17,0,15,0,-1,1,
242,3,19,0,16,0,-1,1,
243,Q,19,0,16,0,-1,1,
244,2,22,1,13,0,1,0,
245,9,17,0,13,0,-1,1,
246,7,18,0,12,0,-1,1,
247,10,19,0,20,0,1,0,
248,Q,21,0,11,0,-1,1,
249,4,25,1,5,1,1,1,
250,3,20,0,14,0,-1,1,
251,5,24,1,6,1,1,1,
252,7,17,0,6,1,-1,0,
253,A,21,0,14,0,-1,1,
254,10,18,0,9,1,1,1,
255,J,19,0,12,0,-1,1,
256,A,20,0,19,0,-1,1,
257,3,20,0,13,0,-1,1,
258,5,19,0,17,0,-1,1,
259,5,24,1,10,1,1,1,
260,A,21,0,18,0,-1,1,
261,9,18,0,16,0,-1,1,
262,7,25,1,7,1,1,1,
263,4,18,0,18,0,0,0,
264,10,17,0,12,0,-1,1,
265,2,21,0,18,0,-1,1,
266,9,19,0,15,0,-1,1,
267,3,24,1,10,1,1,1,
268,4,17,0,12,0,-1,1,
269,K,21,0,10,0,-1,1,
270,A,21,0,14,0,-1,1,
271,4,21,0,14,0,-1,1,
272,10,20,0,20,0,0,0,
273,7,17,0,20,0,1,0,
274,6,17,0,18,0,1,0,
275,8,19,0,13,0,-1,1,
276,Q,18,0,18,0,0,0,
277,Q,18,0,13,0,-1,1,
278,9,20,0,14,0,-1,1,
279,4,18,0,15,0,-1,1,
280,4,25,1,20,0,1,0,
281,A,19,0,18,0,-1,1,
282,J,18,0,21,0,1,0,
283,A,25,1,7,1,1,1,
284,4,26,1,14,0,1,0,
285,Q,20,0,8,1,-1,0,
286,7,24,1,17,0,1,0,
287,Q,25,1,13,0,1,0,
288,K,19,0,18,0,-1,1,
289,2,25,1,13,0,1,0,
290,J,20,0,17,0,-1,1,
291,5,23,1,13,0,1,0,
292,K,17,0,20,0,1,0,
293,K,21,0,12,0,-1,1,
294,9,21,0,12,0,-1,1,
295,K,20,0,17,0,-1,1,
296,7,25,1,15,0,1,0,
297,10,19,0,14,0,-1,1,
298,4,20,0,13,0,-1,1,
299,9,19,0,7,1,-1,0,
300,J,20,0,13,0,-1,1,
301,J,21,0,15,0,-1,1,
302,3,17,0,14,0,-1,1,
303,Q,17,0,8,1,1,1,
304,9,19,0,19,0,0,0,
305,4,20,0,20,0,0,0,
306,8,19,0,16,0,-1,1,
307,9,19,0,9,1,-1,0,
308,J,20,0,13,0,-1,1,
309,2,17,0,17,0,0,0,
310,5,20,0,8,1,-1,0,
311,9,19,0,4,1,0,1,
312,4,24,1,17,0,1,0,
313,Q,23,1,20,0,1,0,
314,J,20,0,10,1,0,1,
315,K,19,0,6,2,1,1,
316,8,21,0,15,0,-1,1,
317,K,21,0,21,0,0,0,
318,8,18,0,10,1,-1,0,
319,J,18,0,5,1,-1,0,
320,Q,20,0,15,0,-1,1,
321,4,21,0,17,0,-1,1,
322,3,19,0,14,0,-1,1,
323,A,19,0,7,1,-1,0,
324,Q,22,1,19,0,1,0,
325,3,21,0,18,0,-1,1,
326,6,25,1,15,0,1,0,
327,6,21,0,21,0,0,0,
328,A,18,0,17,0,-1,1,
329,2,25,1,20,0,1,0,
330,K,20,0,20,0,0,0,
331,5,23,1,18,0,1,0,
332,8,18,0,20,0,1,0,
333,2,23,1,15,0,1,0,
334,9,19,0,14,0,-1,1,
335,3,17,0,16,0,-1,1,
336,6,18,0,14,0,-1,1,
337,3,17,0,15,0,-1,1,
338,6,26,1,17,0,1,0,
339,A,23,1,7,1,1,1,
340,J,24,1,12,0,1,0,
341,Q,21,0,20,0,-1,1,
342,3,25,1,10,1,1,1,
343,K,23,1,4,1,1,1,
344,8,20,0,13,0,-1,1,
345,10,20,0,18,0,-1,1,
346,Q,22,1,12,0,1,0,
347,2,19,0,20,0,1,0,
348,Q,23,1,18,0,1,0,
349,9,19,0,15,0,-1,1,
350,2,17,0,16,0,-1,1,
351,5,23,1,19,0,1,0,
352,2,19,0,14,0,-1,1,
353,10,18,0,19,0,1,0,
354,7,21,0,15,0,-1,1,
355,2,22,1,13,0,1,0,
356,K,20,0,18,0,-1,1,
357,6,23,1,14,0,1,0,
358,4,20,0,14,0,-1,1,
359,K,18,0,13,0,-1,1,
360,9,19,0,17,0,-1,1,
361,9,23,1,19,0,1,0,
362,4,24,1,13,0,1,0,
363,9,18,0,14,0,-1,1,
364,Q,21,0,20,0,-1,1,
365,3,25,1,17,0,1,0,
366,J,20,0,8,1,-1,0,
367,2,23,1,20,0,1,0,
368,6,24,1,19,0,1,0,
369,2,25,1,5,1,1,1,
370,A,21,0,16,0,-1,1,
371,5,17,0,16,0,-1,1,
372,A,21,0,16,0,-1,1,
373,7,17,0,19,0,1,0,
374,8,19,0,19,0,0,0,
375,Q,18,0,13,0,-1,1,
376,5,20,0,12,0,-1,1,
377,9,19,0,21,0,1,0,
378,3,22,1,12,0,1,0,
379,Q,20,0,19,0,-1,1,
380,6,25,1,17,0,1,0,
381,5,21,0,11,1,0,1,
382,2,25,1,17,0,1,0,
383,2,24,1,16,0,1,0,
384,Q,20,0,15,0,-1,1,
385,5,25,1,9,1,1,1,
386,8,19,0,15,0,-1,1,
387,A,20,0,7,1,-1,0,
388,A,17,0,20,0,1,0,
389,10,20,0,16,0,-1,1,
390,K,18,0,15,0,-1,1,
391,4,24,1,10,1,1,1,
392,7,20,0,15,0,-1,1,
393,A,20,0,17,0,-1,1,
394,7,18,0,14,0,-1,1,
395,10,20,0,15,0,-1,1,
396,A,21,0,12,0,-1,1,
397,9,20,0,11,1,-1,0,
398,Q,17,0,15,0,-1,1,
399,8,23,1,14,0,1,0,
400,3,18,0,11,1,1,1,
401,2,18,0,13,0,-1,1,
402,2,25,1,12,0,1,0,
403,6,26,1,9,1,1,1,
404,10,20,0,15,0,-1,1,
405,A,21,0,20,0,-1,1,
406,5,17,0,21,0,1,0,
407,6,23,1,19,0,1,0,
408,3,17,0,19,0,1,0,
409,9,18,0,7,1,-1,0,
410,8,22,1,14,0,1,0,
411,9,17,0,15,0,-1,1,
412,Q,23,1,12,0,1,0,
413,3,20,0,14,0,-1,1,
414,Q,17,0,13,0,-1,1,
415,Q,20,0,12,0,-1,1,
416,A,20,0,9,1,-1,0,
417,Q,20,0,18,0,-1,1,
418,6,18,0,18,0,0,0,
419,3,23,1,5,1,1,1,
420,4,18,0,17,0,-1,1,
421,J,18,0,16,0,-1,1,
422,8,18,0,12,0,-1,1,
423,9,19,0,19,0,0,0,
424,7,18,0,17,0,-1,1,
425,4,24,1,11,1,1,1,
426,A,20,0,21,0,1,0,
427,6,23,1,14,0,1,0,
428,10,19,0,20,0,1,0,
429,9,19,0,12,0,-1,1,
430,9,20,0,12,0,-1,1,
431,A,21,0,9,0,-1,1,
432,A,18,0,17,0,-1,1,
433,K,22,1,14,0,1,0,
434,2,18,0,18,0,0,0,
435,2,19,0,11,1,-1,0,
436,2,25,1,15,0,1,0,
