,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome,#Change these outputs in the simulator to get to the correct data.
20166,3,23,1,14,0,1,0,
20167,J,19,0,20,0,1,0,
20168,10,20,0,13,0,-1,1,
20169,Q,20,0,15,0,-1,1,
20170,4,19,0,20,0,1,0,
20171,8,19,0,16,0,-1,1,
20172,5,25,1,16,0,1,0,
20173,J,25,1,12,0,1,0,
20174,10,20,0,15,0,-1,1,
20175,7,23,1,15,0,1,0,
20176,4,19,0,5,1,-1,0,
20177,9,20,0,8,1,-1,0,
20178,A,21,0,12,0,-1,1,
20179,3,23,1,14,0,1,0,
20180,8,18,0,13,0,-1,1,
20181,3,20,0,15,0,-1,1,
20182,10,19,0,16,0,-1,1,
20183,J,20,0,20,0,0,0,
20184,10,19,0,5,1,1,1,
20185,10,25,1,20,0,1,0,
20186,Q,18,0,12,0,-1,1,
20187,5,17,0,20,0,1,0,
20188,K,20,0,15,0,-1,1,
20189,2,17,0,19,0,1,0,
20190,4,26,1,8,1,1,1,
20191,7,18,0,15,0,-1,1,
20192,J,20,0,12,0,-1,1,
20193,8,18,0,20,0,1,0,
20194,4,22,1,12,0,1,0,
20195,J,22,1,13,0,1,0,
20196,K,18,0,19,0,1,0,
20197,2,21,0,15,0,-1,1,
20198,8,19,0,21,0,1,0,
20199,A,20,0,12,0,-1,1,
20200,8,18,0,12,0,-1,1,
20201,4,17,0,9,1,1,1,
20202,Q,20,0,18,0,-1,1,
20203,6,25,1,21,0,1,0,
20204,7,24,1,8,1,1,1,
20205,J,20,0,19,0,-1,1,
20206,8,25,1,13,0,1,0,
20207,4,20,0,19,0,-1,1,
20208,9,24,1,10,1,1,1,
20209,A,19,0,17,0,-1,1,
20210,4,23,1,13,0,1,0,
20211,5,19,0,11,1,-1,0,
20212,6,19,0,13,0,-1,1,
20213,3,23,1,20,0,1,0,
20214,J,23,1,11,1,1,1,
20215,A,20,0,16,0,-1,1,
20216,10,21,0,15,0,-1,1,
20217,9,22,1,11,1,1,1,
20218,2,24,1,17,0,1,0,
20219,3,26,1,17,0,1,0,
20220,6,17,0,19,0,1,0,
20221,Q,24,1,17,0,1,0,
20222,10,26,1,21,0,1,0,
20223,3,23,1,9,1,1,1,
20224,9,20,0,12,0,-1,1,
20225,7,17,0,16,0,-1,1,
20226,J,21,0,18,0,-1,1,
20227,4,18,0,18,0,0,0,
20228,4,22,1,17,0,1,0,
20229,8,18,0,17,0,-1,1,
20230,5,24,1,6,1,1,1,
20231,8,17,0,15,0,-1,1,
20232,10,19,0,15,0,-1,1,
20233,7,23,1,16,0,1,0,
20234,K,24,1,12,0,1,0,
20235,K,20,0,19,0,-1,1,
20236,9,19,0,12,0,-1,1,
20237,10,20,0,15,0,-1,1,
20238,10,23,1,6,1,1,1,
20239,6,20,0,16,0,-1,1,
20240,7,17,0,5,1,-1,0,
20241,8,24,1,17,0,1,0,
20242,Q,19,0,13,0,-1,1,
20243,8,22,1,9,1,1,1,
20244,7,18,0,15,0,-1,1,
20245,9,21,0,13,0,-1,1,
20246,10,20,0,10,1,-1,0,
20247,10,21,0,10,0,-1,1,
20248,2,17,0,16,0,-1,1,
20249,J,17,0,13,0,-1,1,
20250,10,19,0,13,0,-1,1,
20251,J,20,0,17,0,-1,1,
20252,10,21,0,12,0,-1,1,
20253,2,21,0,20,0,-1,1,
20254,J,20,0,20,0,0,0,
20255,J,23,1,8,1,1,1,
20256,9,17,0,15,0,-1,1,
20257,8,17,0,18,0,1,0,
20258,9,25,1,13,0,1,0,
20259,7,17,0,12,0,-1,1,
20260,4,19,0,12,0,-1,1,
20261,5,24,1,15,0,1,0,
20262,K,23,1,11,1,1,1,
20263,6,25,1,13,0,1,0,
20264,10,17,0,20,0,1,0,
20265,8,18,0,15,0,-1,1,
20266,2,19,0,11,1,1,1,
20267,7,23,1,17,0,1,0,
20268,9,19,0,7,1,-1,0,
20269,3,18,0,13,0,-1,1,
20270,2,24,1,20,0,1,0,
20271,7,23,1,16,0,1,0,
20272,10,20,0,19,0,-1,1,
20273,9,17,0,20,0,1,0,
20274,Q,20,0,19,0,-1,1,
20275,J,20,0,20,0,0,0,
20276,8,18,0,17,0,-1,1,
20277,K,19,0,18,0,-1,1,
20278,9,19,0,12,0,-1,1,
20279,4,19,0,16,0,-1,1,
20280,2,22,1,6,1,1,1,
20281,3,23,1,9,1,1,1,
20282,Q,20,0,9,1,-1,0,
20283,Q,20,0,19,0,-1,1,
20284,2,26,1,14,0,1,0,
20285,9,21,0,17,0,-1,1,
20286,3,22,1,12,0,1,0,
20287,6,20,0,13,0,-1,1,
20288,9,22,1,9,1,1,1,
20289,5,23,1,15,0,1,0,
20290,9,17,0,7,1,-1,0,
20291,K,18,0,15,0,-1,1,
20292,Q,24,1,5,1,1,1,
20293,2,23,1,15,0,1,0,
20294,A,18,0,17,0,-1,1,
20295,3,24,1,13,0,1,0,
20296,10,20,0,20,0,0,0,
20297,Q,20,0,19,0,-1,1,
20298,A,20,0,21,0,1,0,
20299,9,25,1,12,0,1,0,
20300,A,21,0,17,0,-1,1,
20301,8,17,0,14,0,-1,1,
20302,3,22,1,16,0,1,0,
20303,A,21,0,17,0,-1,1,
20304,Q,18,0,9,1,-1,0,
20305,10,20,0,15,0,-1,1,
20306,4,17,0,10,1,0,1,
20307,5,24,1,17,0,1,0,
20308,2,21,0,20,0,-1,1,
20309,A,17,0,5,1,-1,0,
20310,7,17,0,16,0,-1,1,
20311,5,25,1,17,0,1,0,
20312,2,24,1,20,0,1,0,
20313,5,19,0,13,0,-1,1,
20314,4,21,0,13,0,-1,1,
20315,Q,20,0,17,0,-1,1,
20316,7,17,0,13,0,-1,1,
20317,6,24,1,8,1,1,1,
20318,K,20,0,17,0,-1,1,
20319,7,17,0,11,1,-1,0,
20320,6,22,1,18,0,1,0,
20321,K,19,0,20,0,1,0,
20322,8,26,1,13,0,1,0,
20323,5,17,0,13,0,-1,1,
20324,8,19,0,12,0,-1,1,
20325,10,24,1,14,0,1,0,
20326,7,26,1,13,0,1,0,
20327,4,20,0,18,0,-1,1,
20328,A,21,0,19,0,-1,1,
20329,J,18,0,20,0,1,0,
20330,5,20,0,21,0,1,0,
20331,Q,19,0,15,0,-1,1,
20332,3,21,0,15,0,-1,1,
20333,6,26,1,12,0,1,0,
20334,6,21,0,15,0,-1,1,
20335,7,18,0,13,0,-1,1,
20336,J,17,0,18,0,1,0,
20337,K,20,0,10,1,0,1,
20338,Q,18,0,13,0,-1,1,
20339,9,18,0,16,0,-1,1,
20340,5,23,1,16,0,1,0,
20341,6,19,0,19,0,0,0,
20342,6,20,0,14,0,-1,1,
20343,2,22,1,14,0,1,0,
20344,3,26,1,20,0,1,0,
20345,9,19,0,21,0,1,0,
20346,9,25,1,14,0,1,0,
20347,4,21,0,17,0,-1,1,
20348,5,21,0,14,0,-1,1,
20349,4,17,0,12,0,-1,1,
20350,5,22,1,12,0,1,0,
20351,9,18,0,20,0,1,0,
20352,4,18,0,13,0,-1,1,
20353,3,23,1,20,0,1,0,
20354,K,18,0,20,0,1,0,
20355,4,19,0,14,0,-1,1,
20356,J,23,1,13,0,1,0,
20357,A,21,0,14,0,-1,1,
20358,A,17,0,15,0,-1,1,
20359,3,23,1,20,0,1,0,
20360,K,20,0,9,1,-1,0,
20361,6,24,1,12,0,1,0,
20362,A,18,0,20,0,1,0,
20363,5,18,0,17,0,-1,1,
20364,5,24,1,16,0,1,0,
20365,K,20,0,12,0,-1,1,
20366,5,23,1,15,0,1,0,
20367,Q,20,0,14,0,-1,1,
20368,2,25,1,11,1,1,1,
20369,Q,22,1,16,0,1,0,
20370,5,19,0,14,0,-1,1,
20371,9,17,0,20,0,1,0,
20372,7,17,0,20,0,1,0,
20373,10,22,1,13,0,1,0,
20374,9,20,0,15,0,-1,1,
20375,6,17,0,14,0,-1,1,
20376,3,17,0,20,0,1,0,
20377,Q,17,0,21,0,1,0,
20378,J,20,0,20,0,0,0,
20379,3,19,0,20,0,1,0,
20380,7,21,0,17,0,-1,1,
20381,K,20,0,12,0,-1,1,
20382,10,22,1,20,0,1,0,
20383,Q,20,0,20,0,0,0,
20384,8,18,0,9,1,-1,0,
20385,4,21,0,20,0,-1,1,
20386,7,18,0,20,0,1,0,
20387,9,19,0,13,0,-1,1,
20388,2,17,0,15,0,-1,1,
20389,J,21,0,20,0,-1,1,
20390,A,18,0,12,0,-1,1,
20391,9,23,1,19,0,1,0,
20392,4,20,0,10,1,0,1,
20393,6,21,0,14,0,-1,1,
20394,8,18,0,17,0,-1,1,
20395,5,18,0,19,0,1,0,
20396,2,22,1,16,0,1,0,
20397,2,23,1,16,0,1,0,
20398,2,19,0,20,0,1,0,
20399,K,20,0,20,0,0,0,
20400,4,19,0,15,0,-1,1,
20401,10,17,0,6,1,0,1,
20402,3,17,0,21,0,1,0,
20403,A,20,0,11,1,-1,0,
20404,6,23,1,17,0,1,0,
20405,J,20,0,17,0,-1,1,
20406,8,20,0,20,0,0,0,
20407,4,18,0,20,0,1,0,
20408,2,21,0,12,0,-1,1,
20409,4,18,0,15,0,-1,1,
20410,6,23,1,16,0,1,0,
20411,6,25,1,17,0,1,0,
20412,2,20,0,15,0,-1,1,
20413,5,23,1,17,0,1,0,
20414,2,18,0,17,0,-1,1,
20415,5,17,0,20,0,1,0,
20416,7,21,0,13,0,-1,1,
20417,5,18,0,16,0,-1,1,
20418,J,20,0,13,0,-1,1,
20419,5,24,1,13,0,1,0,
20420,6,19,0,8,1,-1,0,
20421,7,18,0,15,0,-1,1,
20422,K,20,0,14,0,-1,1,
20423,2,20,0,21,0,1,0,
20424,2,20,0,12,0,-1,1,
20425,Q,20,0,6,1,-1,0,
20426,3,18,0,20,0,1,0,
20427,2,21,0,15,0,-1,1,
20428,J,20,0,14,0,-1,1,
20429,6,26,1,12,0,1,0,
20430,7,17,0,20,0,1,0,
20431,4,22,1,16,0,1,0,
20432,2,17,0,20,0,1,0,
20433,5,18,0,12,0,-1,1,
20434,3,17,0,14,0,-1,1,
20435,7,21,0,7,1,-1,0,
20436,2,22,1,21,0,1,0,
20437,K,18,0,7,1,-1,0,
20438,6,24,1,16,0,1,0,
20439,J,19,0,11,1,-1,0,
20440,K,19,0,10,1,0,1,
20441,7,17,0,19,0,1,0,
20442,Q,25,1,12,0,1,0,
20443,9,18,0,12,0,-1,1,
20444,2,20,0,7,1,-1,0,
20445,A,18,0,14,0,-1,1,
20446,10,26,1,14,0,1,0,
20447,A,17,0,21,0,1,0,
20448,10,17,0,16,0,-1,1,
20449,5,25,1,19,0,1,0,
20450,4,22,1,11,1,1,1,
20451,6,20,0,17,0,-1,1,
20452,3,19,0,20,0,1,0,
20453,2,19,0,15,0,-1,1,
20454,5,21,0,21,0,0,0,
20455,6,23,1,21,0,1,0,
20456,3,25,1,17,0,1,0,
20457,K,20,0,17,0,-1,1,
20458,J,19,0,18,0,-1,1,
20459,3,18,0,17,0,-1,1,
20460,4,18,0,18,0,0,0,
20461,J,17,0,14,0,-1,1,
20462,K,22,1,13,0,1,0,
20463,9,19,0,19,0,0,0,
20464,2,19,0,12,0,-1,1,
20465,3,17,0,10,1,1,1,
20466,2,22,1,12,0,1,0,
20467,10,21,0,14,0,-1,1,
20468,10,19,0,13,0,-1,1,
20469,8,18,0,19,0,1,0,
20470,9,18,0,20,0,1,0,
20471,6,19,0,16,0,-1,1,
20472,8,22,1,14,0,1,0,
20473,A,21,0,20,0,-1,1,
20474,J,18,0,13,0,-1,1,
20475,4,19,0,19,0,0,0,
20476,J,23,1,14,0,1,0,
20477,J,18,0,16,0,-1,1,
20478,3,23,1,14,0,1,0,
20479,4,24,1,11,1,1,1,
20480,10,20,0,15,0,-1,1,
20481,K,21,0,15,0,-1,1,
20482,5,21,0,13,0,-1,1,
20483,K,21,0,14,0,-1,1,
20484,A,26,1,19,0,1,0,
20485,A,21,0,20,0,-1,1,
20486,J,17,0,17,0,0,0,
20487,7,20,0,11,1,1,1,
20488,J,21,0,21,0,0,0,
20489,4,18,0,18,0,0,0,
20490,A,21,0,20,0,-1,1,
20491,7,20,0,13,0,-1,1,
20492,9,18,0,16,0,-1,1,
20493,6,17,0,16,0,-1,1,
20494,Q,18,0,11,1,-1,0,
20495,3,22,1,20,0,1,0,
20496,K,24,1,5,1,1,1,
20497,9,20,0,20,0,0,0,
20498,5,21,0,20,0,-1,1,
20499,10,20,0,16,0,-1,1,
20500,J,21,0,21,0,0,0,
20501,10,23,1,12,0,1,0,
20502,K,20,0,17,0,-1,1,
20503,9,17,0,4,1,-1,0,
20504,2,18,0,21,0,1,0,
20505,A,21,0,17,0,-1,1,
20506,9,23,1,12,0,1,0,
20507,5,17,0,9,1,-1,0,
20508,2,17,0,15,0,-1,1,
20509,4,19,0,17,0,-1,1,
20510,5,19,0,19,0,0,0,
20511,3,18,0,9,1,1,1,
20512,A,20,0,12,0,-1,1,
20513,K,20,0,19,0,-1,1,
20514,A,21,0,17,0,-1,1,
20515,5,18,0,12,0,-1,1,
20516,3,19,0,13,0,-1,1,
20517,7,17,0,21,0,1,0,
20518,J,20,0,21,0,1,0,
20519,K,20,0,19,0,-1,1,
20520,7,25,1,20,0,1,0,
20521,6,20,0,18,0,-1,1,
20522,9,19,0,17,0,-1,1,
20523,J,20,0,6,1,-1,0,
20524,6,18,0,13,0,-1,1,
20525,9,22,1,8,1,1,1,
20526,3,17,0,18,0,1,0,
20527,A,19,0,21,0,1,0,
20528,4,23,1,21,0,1,0,
20529,3,25,1,17,0,1,0,
20530,10,21,0,18,0,-1,1,
20531,10,20,0,15,0,-1,1,
20532,K,21,0,12,0,-1,1,
20533,7,25,1,20,0,1,0,
20534,5,25,1,16,0,1,0,
20535,9,17,0,18,0,1,0,
20536,2,25,1,16,0,1,0,
20537,3,19,0,9,1,0,1,
20538,Q,18,0,18,0,0,0,
20539,5,19,0,6,1,-1,0,
20540,4,24,1,19,0,1,0,
20541,7,22,1,20,0,1,0,
20542,K,18,0,17,0,-1,1,
20543,A,18,0,7,1,-1,0,
20544,6,25,1,7,1,1,1,
20545,3,19,0,18,0,-1,1,
20546,K,20,0,12,0,-1,1,
20547,9,18,0,13,0,-1,1,
20548,7,18,0,13,0,-1,1,
20549,J,19,0,9,1,-1,0,
20550,9,20,0,17,0,-1,1,
20551,8,18,0,8,1,0,1,
20552,K,18,0,12,0,-1,1,
20553,7,24,1,13,0,1,0,
20554,6,24,1,13,0,1,0,
20555,5,24,1,11,1,1,1,
20556,9,19,0,12,0,-1,1,
20557,6,26,1,19,0,1,0,
20558,K,20,0,18,0,-1,1,
20559,10,20,0,20,0,0,0,
20560,7,17,0,13,0,-1,1,
20561,A,20,0,18,0,-1,1,
20562,4,25,1,18,0,1,0,
20563,5,24,1,13,0,1,0,
20564,A,17,0,13,0,-1,1,
20565,K,19,0,18,0,-1,1,
20566,Q,19,0,18,0,-1,1,
20567,8,19,0,16,0,-1,1,
20568,J,20,0,19,0,-1,1,
20569,Q,20,0,14,0,-1,1,
20570,6,26,1,17,0,1,0,
20571,6,17,0,15,0,-1,1,
20572,J,17,0,13,0,-1,1,
20573,4,23,1,9,1,1,1,
20574,J,17,0,12,0,-1,1,
20575,4,23,1,12,0,1,0,
20576,2,19,0,20,0,1,0,
20577,K,20,0,19,0,-1,1,
20578,9,19,0,21,0,1,0,
20579,J,19,0,12,0,-1,1,
20580,3,19,0,10,1,1,1,
20581,9,20,0,10,1,0,1,
20582,8,21,0,20,0,-1,1,
20583,A,21,0,12,0,-1,1,
20584,6,26,1,11,1,1,1,
20585,6,21,0,8,1,-1,0,
20586,K,19,0,9,1,-1,0,
20587,5,21,0,15,0,-1,1,
20588,K,21,0,16,0,-1,1,
20589,3,24,1,13,0,1,0,
20590,6,24,1,13,0,1,0,
20591,J,26,1,20,0,1,0,
20592,2,21,0,20,0,-1,1,
20593,J,21,0,13,0,-1,1,
20594,J,17,0,19,0,1,0,
20595,4,17,0,15,0,-1,1,
20596,J,18,0,15,0,-1,1,
20597,A,17,0,12,0,-1,1,
20598,4,21,0,16,0,-1,1,
20599,J,24,1,18,0,1,0,
20600,6,23,1,19,0,1,0,
20601,J,20,0,18,0,-1,1,
20602,Q,21,0,14,0,-1,1,
20603,9,23,1,13,0,1,0,
20604,J,26,1,21,0,1,0,
20605,2,17,0,14,0,-1,1,
20606,7,24,1,14,0,1,0,
20607,4,24,1,9,1,1,1,
20608,K,25,1,15,0,1,0,
20609,Q,23,1,7,1,1,1,
20610,K,20,0,10,1,-1,0,
20611,10,18,0,20,0,1,0,
20612,5,20,0,8,1,-1,0,
20613,6,26,1,12,0,1,0,
20614,6,17,0,12,0,-1,1,
20615,5,19,0,17,0,-1,1,
20616,9,17,0,20,0,1,0,
20617,3,20,0,18,0,-1,1,
20618,Q,20,0,9,1,0,1,
20619,6,18,0,12,0,-1,1,
20620,A,21,0,13,0,-1,1,
20621,6,17,0,13,0,-1,1,
20622,4,19,0,18,0,-1,1,
20623,8,17,0,13,0,-1,1,
20624,10,20,0,12,0,-1,1,
20625,5,26,1,15,0,1,0,
20626,7,22,1,19,0,1,0,
20627,J,23,1,19,0,1,0,
20628,6,22,1,4,1,1,1,
20629,8,17,0,10,1,-1,0,
20630,5,18,0,6,1,-1,0,
20631,4,21,0,19,0,-1,1,
20632,7,24,1,20,0,1,0,
20633,4,17,0,10,1,-1,0,
20634,4,18,0,13,0,-1,1,
20635,J,20,0,16,0,-1,1,
20636,4,17,0,18,0,1,0,
20637,9,25,1,20,0,1,0,
20638,5,17,0,10,1,-1,0,
20639,J,21,0,13,0,-1,1,
20640,4,18,0,21,0,1,0,
20641,3,21,0,11,1,-1,0,
20642,2,23,1,13,0,1,0,
20643,4,22,1,20,0,1,0,
20644,3,20,0,11,1,-1,0,
20645,3,23,1,11,1,1,1,
20646,5,25,1,18,0,1,0,
20647,7,18,0,21,0,1,0,
20648,J,26,1,8,1,1,1,
20649,6,24,1,14,0,1,0,
20650,Q,17,0,12,0,-1,1,
20651,A,17,0,6,1,-1,0,
20652,2,21,0,20,0,-1,1,
20653,9,19,0,18,0,-1,1,
20654,Q,18,0,9,1,1,1,
20655,Q,25,1,10,1,1,1,
20656,K,20,0,18,0,-1,1,
20657,K,23,1,14,0,1,0,
20658,9,23,1,10,1,1,1,
20659,7,17,0,20,0,1,0,
20660,A,19,0,14,0,-1,1,
20661,10,20,0,12,0,-1,1,
20662,9,19,0,13,0,-1,1,
20663,3,23,1,10,1,1,1,
20664,6,24,1,17,0,1,0,
20665,10,20,0,15,0,-1,1,
20666,5,20,0,20,0,0,0,
20667,9,17,0,12,0,-1,1,
20668,6,25,1,16,0,1,0,
20669,10,23,1,21,0,1,0,
20670,9,21,0,19,0,-1,1,
20671,2,19,0,11,1,1,1,
20672,6,20,0,12,0,-1,1,
20673,K,17,0,20,0,1,0,
20674,9,19,0,5,1,-1,0,
20675,4,25,1,14,0,1,0,
20676,J,18,0,12,0,-1,1,
20677,10,22,1,14,0,1,0,
20678,J,20,0,17,0,-1,1,
20679,J,17,0,20,0,1,0,
20680,K,20,0,16,0,-1,1,
20681,10,20,0,12,0,-1,1,
20682,K,17,0,20,0,1,0,
20683,K,17,0,13,0,-1,1,
20684,5,20,0,12,0,-1,1,
20685,A,20,0,12,0,-1,1,
20686,3,18,0,13,0,-1,1,
20687,4,18,0,15,0,-1,1,
20688,A,21,0,20,0,-1,1,
20689,8,26,1,18,0,1,0,
20690,7,17,0,19,0,1,0,
20691,7,26,1,10,1,1,1,
20692,5,19,0,14,0,-1,1,
20693,10,21,0,14,0,-1,1,
20694,J,21,0,16,0,-1,1,
20695,10,21,0,15,0,-1,1,
20696,10,19,0,13,0,-1,1,
20697,J,21,0,11,1,-1,0,
20698,3,19,0,9,1,1,1,
20699,K,19,0,20,0,1,0,
20700,9,19,0,10,1,-1,0,
20701,4,20,0,12,0,-1,1,
20702,6,19,0,12,0,-1,1,
20703,10,21,0,6,1,-1,0,
20704,J,20,0,13,0,-1,1,
20705,3,22,1,13,0,1,0,
20706,K,21,0,12,0,-1,1,
20707,2,25,1,18,0,1,0,
20708,10,20,0,15,0,-1,1,
20709,A,21,0,18,0,-1,1,
20710,J,20,0,16,0,-1,1,
20711,7,21,0,16,0,-1,1,
20712,6,17,0,13,0,-1,1,
20713,5,19,0,21,0,1,0,
20714,10,26,1,8,1,1,1,
20715,8,21,0,9,1,0,1,
20716,6,17,0,20,0,1,0,
20717,J,20,0,14,0,-1,1,
20718,K,22,1,13,0,1,0,
20719,7,17,0,13,0,-1,1,
20720,10,18,0,18,0,0,0,
20721,8,19,0,17,0,-1,1,
20722,A,20,0,20,0,0,0,
20723,6,17,0,17,0,0,0,
20724,K,21,0,15,0,-1,1,
20725,K,23,1,20,0,1,0,
20726,A,17,0,5,1,0,1,
20727,6,24,1,13,0,1,0,
20728,5,22,1,11,1,1,1,
20729,8,17,0,15,0,-1,1,
20730,2,24,1,12,0,1,0,
20731,A,24,1,12,0,1,0,
20732,2,19,0,13,0,-1,1,
20733,9,19,0,10,1,-1,0,
20734,2,21,0,18,0,-1,1,
20735,7,17,0,15,0,-1,1,
20736,6,17,0,13,0,-1,1,
20737,4,24,1,12,0,1,0,
20738,10,17,0,16,0,-1,1,
20739,10,20,0,18,0,-1,1,
20740,Q,20,0,16,0,-1,1,
20741,3,23,1,11,1,1,1,
20742,5,25,1,7,1,1,1,
20743,2,18,0,15,0,-1,1,
20744,3,23,1,7,1,1,1,
20745,8,18,0,20,0,1,0,
20746,6,26,1,7,1,1,1,
20747,2,26,1,9,1,1,1,
20748,3,17,0,16,0,-1,1,
20749,Q,20,0,12,0,-1,1,
20750,4,22,1,11,1,1,1,
20751,10,22,1,17,0,1,0,
20752,6,26,1,13,0,1,0,
20753,Q,20,0,17,0,-1,1,
20754,9,21,0,21,0,0,0,
20755,J,19,0,12,0,-1,1,
20756,Q,18,0,20,0,1,0,
20757,7,23,1,10,1,1,1,
20758,K,19,0,16,0,-1,1,
20759,Q,20,0,11,1,-1,0,
20760,J,21,0,18,0,-1,1,
20761,10,22,1,8,1,1,1,
20762,J,19,0,10,1,-1,0,
20763,3,17,0,18,0,1,0,
20764,9,17,0,12,0,-1,1,
20765,2,18,0,19,0,1,0,
20766,10,20,0,19,0,-1,1,
20767,2,22,1,14,0,1,0,
20768,4,18,0,12,0,-1,1,
20769,A,18,0,12,0,-1,1,
20770,10,17,0,12,0,-1,1,
20771,3,22,1,15,0,1,0,
20772,J,22,1,15,0,1,0,
20773,7,20,0,6,1,-1,0,
20774,A,21,0,12,0,-1,1,
20775,4,20,0,21,0,1,0,
20776,4,20,0,12,0,-1,1,
20777,A,23,1,19,0,1,0,
20778,8,24,1,10,1,1,1,
20779,10,19,0,20,0,1,0,
20780,A,18,0,19,0,1,0,
20781,K,19,0,9,1,0,1,
20782,10,21,0,5,1,-1,0,
20783,8,18,0,14,0,-1,1,
20784,3,17,0,9,1,-1,0,
20785,4,20,0,13,0,-1,1,
20786,2,17,0,11,1,0,1,
20787,8,17,0,14,0,-1,1,
20788,J,19,0,20,0,1,0,
20789,7,18,0,21,0,1,0,
20790,4,24,1,20,0,1,0,
20791,5,22,1,8,1,1,1,
20792,K,20,0,18,0,-1,1,
20793,Q,20,0,15,0,-1,1,
20794,4,21,0,18,0,-1,1,
20795,8,19,0,12,0,-1,1,
20796,10,20,0,9,1,-1,0,
20797,Q,23,1,19,0,1,0,
20798,3,26,1,12,0,1,0,
20799,J,24,1,14,0,1,0,
20800,5,18,0,11,1,-1,0,
20801,K,23,1,7,1,1,1,
20802,J,25,1,16,0,1,0,
20803,5,17,0,4,1,-1,0,
20804,2,20,0,11,1,-1,0,
20805,A,21,0,13,0,-1,1,
20806,9,19,0,12,0,-1,1,
20807,6,17,0,11,1,-1,0,
20808,10,24,1,16,0,1,0,
20809,6,22,1,17,0,1,0,
20810,9,17,0,12,0,-1,1,
20811,A,20,0,20,0,0,0,
20812,K,21,0,19,0,-1,1,
20813,A,17,0,19,0,1,0,
20814,5,20,0,21,0,1,0,
20815,9,20,0,19,0,-1,1,
20816,8,22,1,12,0,1,0,
20817,10,19,0,20,0,1,0,
20818,10,19,0,8,1,-1,0,
20819,3,21,0,15,0,-1,1,
20820,A,21,0,18,0,-1,1,
20821,2,19,0,12,0,-1,1,
20822,3,24,1,15,0,1,0,
20823,7,17,0,14,0,-1,1,
20824,7,25,1,12,0,1,0,
20825,J,21,0,14,0,-1,1,
20826,8,17,0,16,0,-1,1,
20827,Q,17,0,15,0,-1,1,
20828,5,18,0,13,0,-1,1,
20829,10,20,0,15,0,-1,1,
20830,3,18,0,19,0,1,0,
20831,3,17,0,17,0,0,0,
20832,6,21,0,8,1,-1,0,
20833,6,18,0,13,0,-1,1,
20834,6,17,0,13,0,-1,1,
20835,6,26,1,18,0,1,0,
20836,A,23,1,13,0,1,0,
20837,J,20,0,15,0,-1,1,
20838,A,21,0,16,0,-1,1,
20839,10,18,0,14,0,-1,1,
20840,6,18,0,5,1,-1,0,
20841,4,23,1,8,1,1,1,
20842,Q,21,0,16,0,-1,1,
20843,2,18,0,17,0,-1,1,
20844,A,21,0,5,0,-1,1,
20845,8,18,0,13,0,-1,1,
20846,J,18,0,14,0,-1,1,
20847,10,17,0,11,1,0,1,
20848,7,26,1,21,0,1,0,
20849,9,17,0,10,1,-1,0,
20850,K,24,1,21,0,1,0,
20851,4,18,0,14,0,-1,1,
20852,9,19,0,15,0,-1,1,
20853,7,25,1,15,0,1,0,
20854,5,18,0,11,1,1,1,
20855,A,21,0,20,0,-1,1,
20856,7,25,1,16,0,1,0,
20857,J,20,0,12,0,-1,1,
20858,7,17,0,7,1,-1,0,
20859,10,17,0,19,0,1,0,
20860,9,20,0,20,0,0,0,
20861,K,19,0,13,0,-1,1,
20862,8,18,0,15,0,-1,1,
20863,K,18,0,19,0,1,0,
20864,Q,21,0,14,0,-1,1,
20865,K,21,0,15,0,-1,1,
20866,2,22,1,20,0,1,0,
20867,4,19,0,21,0,1,0,
20868,3,20,0,21,0,1,0,
20869,7,17,0,9,1,-1,0,
20870,8,21,0,14,0,-1,1,
20871,3,24,1,14,0,1,0,
20872,J,26,1,10,1,1,1,
20873,4,21,0,19,0,-1,1,
20874,2,25,1,17,0,1,0,
20875,5,21,0,12,0,-1,1,
20876,J,19,0,16,0,-1,1,
20877,9,25,1,7,1,1,1,
20878,A,18,0,12,0,-1,1,
20879,A,20,0,16,0,-1,1,
20880,5,17,0,13,0,-1,1,
20881,7,17,0,6,1,1,1,
20882,8,19,0,16,0,-1,1,
20883,5,19,0,21,0,1,0,
20884,Q,20,0,14,0,-1,1,
20885,A,21,0,6,0,-1,1,
20886,J,20,0,12,0,-1,1,
20887,J,21,0,13,0,-1,1,
20888,9,23,1,12,0,1,0,
20889,7,26,1,14,0,1,0,
20890,4,20,0,15,0,-1,1,
20891,K,17,0,18,0,1,0,
20892,A,18,0,12,0,-1,1,
20893,6,24,1,14,0,1,0,
20894,7,22,1,10,1,1,1,
20895,6,25,1,13,0,1,0,
20896,6,17,0,17,0,0,0,
20897,K,22,1,16,0,1,0,
20898,2,24,1,20,0,1,0,
20899,9,20,0,8,1,-1,0,
20900,8,19,0,20,0,1,0,
20901,5,21,0,15,0,-1,1,
20902,3,19,0,19,0,0,0,
20903,Q,21,0,19,0,-1,1,
20904,5,24,1,16,0,1,0,
20905,10,20,0,19,0,-1,1,
20906,10,18,0,13,0,-1,1,
20907,10,25,1,17,0,1,0,
20908,4,20,0,16,0,-1,1,
20909,K,20,0,12,0,-1,1,
20910,K,18,0,13,1,1,1,
20911,9,19,0,19,0,0,0,
20912,5,22,1,16,0,1,0,
20913,6,20,0,21,0,1,0,
20914,K,18,0,10,1,-1,0,
20915,8,19,0,14,0,-1,1,
