,dealer_card,dealer_estimated_value,dealer_bust,init_hand,hit,result,outcome
743,6,16,1,14,2,-1.0,0
744,6,14,0,19,0,-1.0,1
745,8,16,0,15,1,1.0,1
746,2,4,0,12,1,-1.0,0
747,Q,19,0,18,0,-1.0,1
748,7,15,0,19,0,1.0,0
749,4,7,0,13,1,-1.0,0
750,Q,12,1,7,3,-1.0,0
751,A,17,0,14,0,-1.0,1
752,10,14,0,21,0,1.0,0
753,9,7,0,12,0,-1.0,1
754,A,15,0,17,0,-1.0,1
755,3,7,1,12,1,-1.0,0
756,8,16,0,13,2,-1.0,0
757,5,13,1,19,0,1.0,0
758,J,18,0,18,2,-1.0,0
759,Q,12,1,12,1,1.0,1
760,2,8,0,20,0,1.0,0
761,8,13,0,17,1,1.0,1
762,J,12,0,16,1,-1.0,0
763,J,11,1,11,2,-1.0,0
764,4,9,0,12,1,-1.0,0
765,10,8,1,19,0,1.0,0
766,3,7,1,16,1,1.0,1
767,7,12,0,18,0,1.0,0
768,3,7,1,13,1,-1.0,0
769,3,6,1,11,2,-1.0,0
770,6,10,0,20,0,1.0,0
771,8,13,0,12,2,1.0,1
772,4,12,0,18,0,-1.0,1
773,7,12,1,12,1,1.0,1
774,4,11,1,19,0,1.0,0
775,5,14,0,15,1,-1.0,0
776,6,14,1,15,1,-1.0,0
777,9,16,0,20,0,1.0,0
778,3,10,1,15,2,1.0,1
779,7,13,0,21,0,1.0,0
780,Q,16,0,14,0,-1.0,1
781,A,16,0,16,0,-1.0,1
782,K,9,0,13,0,-1.0,1
783,K,6,0,13,0,-1.0,1
784,Q,13,0,15,1,-1.0,0
785,8,20,0,20,0,1.0,0
786,2,9,0,21,0,1.0,0
787,7,18,0,12,3,-1.0,0
788,4,15,1,14,1,-1.0,0
789,9,15,1,14,2,1.0,1
790,8,17,0,20,0,1.0,0
791,6,7,0,10,2,1.0,1
792,9,11,1,20,0,1.0,0
793,J,15,0,17,1,-1.0,0
794,J,10,0,17,0,1.0,0
795,10,7,0,13,0,-1.0,1
796,2,6,0,9,2,-1.0,0
797,10,14,0,13,1,-1.0,0
798,Q,5,1,18,0,1.0,0
799,J,22,0,14,1,-1.0,0
800,7,12,0,17,0,-1.0,1
801,4,6,0,16,1,-1.0,0
802,2,13,0,13,3,-1.0,0
803,J,18,0,20,0,1.0,0
804,J,11,0,12,1,1.0,1
805,6,9,0,14,3,-1.0,0
806,K,9,1,15,0,1.0,0
807,3,8,0,13,1,-1.0,0
808,4,6,0,18,0,-1.0,1
809,7,12,0,15,1,-1.0,0
810,7,11,0,15,1,-1.0,0
811,9,10,1,19,0,1.0,0
812,9,4,0,14,0,-1.0,1
813,4,11,0,13,3,-1.0,0
814,6,10,0,12,1,-1.0,0
815,4,12,1,20,0,1.0,0
816,6,16,1,18,0,1.0,0
817,6,12,1,20,0,1.0,0
818,K,13,1,11,1,1.0,1
819,8,16,0,13,2,-1.0,0
820,J,13,1,20,0,1.0,0
821,A,8,0,10,2,-1.0,0
822,Q,14,0,12,2,1.0,1
823,4,2,0,9,1,1.0,1
824,J,13,0,15,1,-1.0,0
825,8,11,0,11,1,1.0,1
826,6,10,0,19,0,1.0,0
827,7,19,0,11,1,1.0,1
828,A,17,0,15,1,-1.0,0
829,9,12,0,17,1,-1.0,0
830,2,9,0,19,0,-1.0,1
831,K,14,0,18,1,-1.0,0
832,9,16,0,14,1,1.0,1
833,K,11,0,19,0,1.0,0
834,10,17,0,15,1,-1.0,0
835,8,14,0,8,2,-1.0,0
836,J,7,1,10,1,1.0,1
837,Q,12,0,17,0,1.0,0
838,A,15,0,10,0,-1.0,1
839,Q,14,0,12,1,1.0,1
840,K,14,0,15,0,-1.0,1
841,Q,22,0,16,1,-1.0,0
842,J,18,0,20,0,1.0,0
843,K,22,0,21,0,1.0,0
844,A,15,0,13,1,1.0,1
845,Q,11,0,16,1,-1.0,0
846,K,17,0,5,2,-1.0,0
847,A,11,0,14,1,1.0,1
848,2,9,1,10,2,1.0,1
849,9,8,0,11,1,-1.0,0
850,Q,15,0,11,2,1.0,1
851,2,0,0,19,0,1.0,0
852,8,6,0,18,0,1.0,0
853,A,15,0,20,0,-1.0,1
854,6,2,0,10,1,-1.0,0
855,2,5,0,15,1,-1.0,0
856,5,13,0,15,1,-1.0,0
857,3,6,1,10,1,1.0,1
858,5,15,1,12,1,-1.0,0
859,K,21,0,14,0,-1.0,1
860,3,12,1,18,2,-1.0,0
861,3,13,1,11,3,-1.0,0
862,10,17,0,12,3,-1.0,0
863,8,11,0,12,2,1.0,1
864,A,18,0,10,0,-1.0,1
865,10,8,1,14,0,1.0,0
866,K,14,0,6,2,-1.0,0
867,6,3,1,13,1,-1.0,0
868,4,8,1,14,1,-1.0,0
869,2,2,0,14,1,-1.0,0
870,5,12,1,16,1,-1.0,0
871,A,15,0,19,1,1.0,1
872,K,20,0,12,1,-1.0,0
873,6,15,1,16,1,1.0,1
874,2,4,0,6,2,-1.0,0
875,J,18,0,16,1,-1.0,0
876,4,11,1,11,1,1.0,1
877,7,10,1,13,1,-1.0,0
878,J,16,0,21,0,1.0,0
879,8,8,0,12,2,-1.0,0
880,A,13,0,19,0,1.0,0
881,A,11,0,5,1,-1.0,0
882,J,14,0,17,1,-1.0,0
883,4,1,0,15,1,-1.0,0
884,10,18,1,11,2,-1.0,0
885,6,14,1,13,1,-1.0,0
886,10,19,0,14,1,-1.0,0
887,6,16,0,5,3,-1.0,0
888,7,11,0,7,1,1.0,1
889,3,6,0,21,0,1.0,0
890,3,8,0,15,1,-1.0,0
891,2,4,1,12,1,-1.0,0
892,A,16,0,20,0,1.0,0
893,4,10,1,18,0,1.0,0
894,A,14,0,19,0,1.0,0
895,7,9,1,6,1,1.0,1
896,K,7,0,12,0,-1.0,1
897,2,3,0,17,1,1.0,1
898,10,16,1,17,1,-1.0,0
899,5,17,0,7,2,-1.0,0
900,7,11,0,19,0,1.0,0
901,Q,21,0,9,0,-1.0,1
902,Q,19,0,21,0,1.0,0
903,4,12,1,18,0,1.0,0
904,J,18,0,19,1,1.0,1
905,J,15,0,12,3,-1.0,0
906,A,12,0,19,0,1.0,0
907,6,10,1,7,1,1.0,1
908,2,1,0,16,1,-1.0,0
909,J,14,0,13,1,-1.0,0
910,6,9,1,9,1,1.0,1
911,3,2,0,20,0,-1.0,1
912,9,18,1,21,0,1.0,0
913,K,21,0,8,2,-1.0,0
914,2,8,0,15,1,1.0,1
915,6,14,0,21,0,1.0,0
916,Q,19,0,11,2,-1.0,0
917,2,11,1,18,1,1.0,1
918,3,11,0,20,0,1.0,0
919,K,14,0,12,1,-1.0,0
920,10,18,0,12,0,-1.0,1
921,10,16,0,14,3,1.0,1
922,Q,15,0,20,0,1.0,0
923,K,13,0,20,0,1.0,0
924,4,8,1,14,1,-1.0,0
925,A,11,0,14,1,1.0,1
926,5,16,1,17,1,-1.0,0
927,A,18,0,15,2,-1.0,0
928,2,12,0,15,1,-1.0,0
929,J,13,1,13,2,-1.0,0
930,9,13,1,20,0,1.0,0
931,2,8,0,19,0,1.0,0
932,6,5,1,18,0,1.0,0
933,3,10,0,10,2,-1.0,0
934,5,11,1,12,2,1.0,1
935,7,12,0,15,1,-1.0,0
936,7,5,0,11,1,1.0,1
937,6,10,1,15,1,-1.0,0
938,10,13,0,13,1,-1.0,0
939,3,15,1,14,2,-1.0,0
940,8,19,0,16,2,-1.0,0
941,K,12,1,16,1,1.0,1
942,A,14,1,21,0,1.0,0
943,2,5,1,19,0,1.0,0
944,3,9,1,18,0,1.0,0
945,Q,17,0,18,2,-1.0,0
946,J,17,0,14,3,-1.0,0
947,A,17,0,18,0,-1.0,1
948,J,10,0,10,1,1.0,1
949,J,13,0,20,0,1.0,0
950,3,1,0,16,1,-1.0,0
951,7,11,0,13,2,1.0,1
952,A,14,0,18,0,-1.0,1
953,K,19,0,11,1,1.0,1
954,K,14,1,17,1,-1.0,0
955,7,10,0,9,1,-1.0,0
956,5,15,0,19,0,1.0,0
957,A,11,1,21,0,1.0,0
958,J,19,0,20,0,1.0,0
959,4,10,1,9,2,-1.0,0
960,9,8,0,10,1,1.0,1
961,3,11,0,12,2,1.0,1
962,Q,13,0,8,1,1.0,1
963,10,11,0,11,2,-1.0,0
964,A,16,0,17,0,-1.0,1
965,K,12,0,16,2,1.0,1
966,A,7,0,14,0,-1.0,1
967,6,3,0,13,1,-1.0,0
968,4,17,0,10,1,-1.0,0
969,7,14,0,20,0,1.0,0
970,6,10,0,18,0,-1.0,1
971,2,11,0,13,1,1.0,1
972,3,13,0,14,2,-1.0,0
973,A,19,0,11,0,-1.0,1
974,8,15,0,17,1,1.0,1
975,7,14,0,19,0,1.0,0
976,5,11,0,13,2,1.0,1
977,K,14,0,11,1,1.0,1
978,6,12,0,17,0,1.0,0
979,6,2,0,12,2,-1.0,0
980,7,11,0,8,1,1.0,1
981,5,7,1,17,1,1.0,1
982,A,18,1,20,1,-1.0,0
983,8,11,0,12,1,-1.0,0
984,2,13,0,18,1,1.0,1
985,6,15,1,10,1,1.0,1
986,Q,15,0,12,1,-1.0,0
987,J,18,0,9,2,-1.0,0
988,8,15,0,7,2,-1.0,0
989,5,4,0,12,1,-1.0,0
990,10,17,0,11,0,-1.0,1
991,10,15,0,18,1,1.0,1
992,9,6,0,15,0,-1.0,1
993,A,14,0,21,0,1.0,0
994,8,8,1,21,0,1.0,0
995,J,13,0,16,1,1.0,1
996,A,23,0,15,0,-1.0,1
997,K,21,0,13,1,-1.0,0
998,9,16,1,11,1,1.0,1
999,Q,13,0,14,2,-1.0,0
1000,2,8,0,20,0,1.0,0
1001,7,15,1,13,1,-1.0,0
1002,4,4,1,16,1,-1.0,0
1003,8,16,0,12,1,-1.0,0
1004,K,16,0,20,0,1.0,0
1005,Q,16,0,16,1,-1.0,0
1006,4,9,0,20,0,1.0,0
1007,2,2,0,16,1,-1.0,0
1008,A,14,0,20,0,1.0,0
1009,3,-2,1,9,1,1.0,1
1010,6,11,0,15,1,-1.0,0
1011,J,21,0,9,2,-1.0,0
1012,7,17,0,17,1,-1.0,0
1013,Q,19,0,17,1,-1.0,0
1014,2,9,0,19,0,-1.0,1
1015,K,15,0,14,3,1.0,1
1016,8,14,0,17,1,-1.0,0
1017,10,16,0,10,1,1.0,1
1018,J,9,1,20,0,1.0,0
1019,5,10,0,10,2,-1.0,0
1020,3,6,0,20,0,1.0,0
1021,5,4,0,21,0,1.0,0
1022,3,6,1,9,1,1.0,1
1023,2,6,1,14,1,1.0,1
1024,6,17,0,15,1,-1.0,0
1025,6,18,0,18,0,1.0,0
1026,6,13,0,17,0,1.0,0
1027,9,11,0,8,1,-1.0,0
1028,3,11,0,9,2,-1.0,0
1029,K,13,1,10,3,1.0,1
1030,10,12,0,11,2,-1.0,0
1031,10,13,1,18,0,1.0,0
1032,2,1,1,21,0,1.0,0
1033,5,9,1,5,2,-1.0,0
1034,6,3,0,14,2,-1.0,0
1035,9,13,0,20,0,1.0,0
1036,8,8,1,17,0,1.0,0
1037,5,8,0,5,2,1.0,1
1038,6,10,1,5,2,-1.0,0
1039,6,13,0,12,1,1.0,1
1040,7,11,1,14,1,-1.0,0
1041,7,18,0,21,0,1.0,0
1042,A,15,0,20,0,1.0,0
1043,9,15,0,17,1,-1.0,0
1044,A,13,1,16,1,-1.0,0
1045,7,7,0,12,1,1.0,1
1046,K,15,0,15,1,1.0,1
1047,3,2,1,20,0,1.0,0
1048,6,11,1,13,1,1.0,1
1049,5,10,0,20,0,-1.0,1
1050,6,5,0,10,1,1.0,1
1051,6,2,0,14,1,-1.0,0
1052,10,17,1,18,3,-1.0,0
1053,3,15,1,16,2,-1.0,0
1054,K,15,0,12,1,-1.0,0
1055,A,11,0,12,1,1.0,1
1056,5,10,0,7,2,-1.0,0
1057,6,14,1,12,2,-1.0,0
1058,10,17,0,21,0,1.0,0
1059,9,15,0,16,3,-1.0,0
1060,3,9,1,20,0,1.0,0
1061,3,8,1,20,0,1.0,0
1062,3,8,1,10,1,1.0,1
1063,6,5,0,19,0,-1.0,1
1064,5,6,1,12,1,-1.0,0
1065,2,8,0,5,2,1.0,1
1066,A,16,1,11,2,-1.0,0
1067,J,20,0,6,3,-1.0,0
1068,7,12,0,15,1,1.0,1
1069,8,11,1,9,1,1.0,1
1070,K,17,0,20,0,1.0,0
1071,8,13,0,14,1,-1.0,0
1072,4,11,0,20,0,1.0,0
1073,5,12,0,18,0,1.0,0
1074,2,6,1,14,2,-1.0,0
1075,7,11,1,20,0,1.0,0
1076,6,10,1,7,1,1.0,1
1077,J,7,0,13,0,-1.0,1
1078,5,8,1,18,0,1.0,0
1079,8,20,0,13,1,1.0,1
1080,Q,21,0,14,3,-1.0,0
1081,8,19,0,17,1,-1.0,0
1082,7,9,0,6,1,-1.0,0
1083,A,12,0,21,0,1.0,0
1084,10,14,0,15,1,-1.0,0
1085,2,8,1,4,3,-1.0,0
1086,10,12,0,20,0,1.0,0
1087,7,12,1,11,1,1.0,1
1088,2,0,0,15,1,1.0,1
1089,Q,14,0,16,1,1.0,1
1090,8,13,0,19,0,1.0,0
1091,Q,14,0,14,2,1.0,1
1092,10,11,0,13,1,1.0,1
1093,7,14,0,15,1,-1.0,0
1094,K,16,0,8,2,1.0,1
1095,10,16,0,15,1,-1.0,0
1096,J,21,0,11,0,-1.0,1
1097,A,11,0,12,1,-1.0,0
1098,5,13,1,17,0,1.0,0
1099,8,17,0,18,1,-1.0,0
1100,10,15,0,20,0,1.0,0
1101,Q,9,1,21,0,1.0,0
1102,2,6,0,17,1,-1.0,0
1103,10,7,1,13,0,1.0,0
1104,2,0,0,13,2,-1.0,0
1105,6,7,1,9,2,-1.0,0
1106,6,7,1,19,0,1.0,0
1107,2,8,0,15,2,1.0,1
1108,2,9,1,13,1,-1.0,0
1109,J,21,0,11,0,-1.0,1
1110,6,16,0,21,0,1.0,0
1111,4,14,0,19,0,-1.0,1
1112,4,11,0,13,1,1.0,1
1113,3,8,0,14,1,-1.0,0
1114,7,7,1,17,0,1.0,0
1115,3,8,0,9,1,-1.0,0
1116,A,11,0,20,0,1.0,0
1117,K,15,0,12,2,-1.0,0
1118,J,14,0,16,1,-1.0,0
1119,5,10,1,15,1,-1.0,0
1120,6,4,1,17,0,1.0,0
1121,K,14,1,18,2,-1.0,0
1122,Q,19,0,18,1,-1.0,0
1123,4,8,1,13,1,1.0,1
1124,2,12,1,17,1,-1.0,0
1125,10,19,0,20,0,1.0,0
1126,7,15,0,12,2,-1.0,0
1127,3,5,0,10,1,1.0,1
1128,8,16,0,13,1,1.0,1
1129,5,11,1,16,1,1.0,1
1130,J,16,0,18,1,1.0,1
1131,7,9,0,17,0,-1.0,1
1132,5,9,0,14,4,-1.0,0
1133,10,12,0,11,2,1.0,1
1134,6,7,1,12,1,1.0,1
1135,K,20,0,15,1,-1.0,0
1136,7,10,1,14,1,-1.0,0
1137,A,22,0,20,0,-1.0,1
1138,10,12,1,16,1,-1.0,0
1139,2,11,0,18,0,-1.0,1
1140,A,14,0,15,1,1.0,1
1141,6,9,0,13,2,1.0,1
1142,A,15,0,14,3,-1.0,0
1143,10,16,0,10,2,-1.0,0
1144,10,9,1,20,0,1.0,0
1145,2,6,0,12,2,-1.0,0
1146,4,7,1,17,1,1.0,1
1147,9,13,0,13,1,-1.0,0
1148,10,11,0,14,1,-1.0,0
1149,8,21,0,18,1,-1.0,0
1150,K,22,0,16,0,-1.0,1
1151,7,18,0,13,1,1.0,1
1152,7,13,0,14,1,1.0,1
1153,5,13,0,17,0,-1.0,1
1154,6,9,1,20,0,1.0,0
1155,7,16,0,14,1,-1.0,0
1156,3,9,0,12,2,-1.0,0
1157,3,4,0,15,1,-1.0,0
1158,K,8,0,17,0,-1.0,1
1159,5,10,1,14,2,1.0,1
1160,6,5,0,13,1,-1.0,0
1161,2,6,0,16,1,-1.0,0
1162,7,11,0,18,0,1.0,0
1163,4,4,1,20,0,1.0,0
1164,A,23,0,11,0,-1.0,1
1165,2,13,0,14,1,1.0,1
1166,4,11,0,9,1,-1.0,0
1167,3,6,0,18,0,-1.0,1
1168,K,11,0,17,0,-1.0,1
1169,5,14,0,18,0,-1.0,1
1170,K,19,0,17,0,-1.0,1
1171,K,16,0,9,1,1.0,1
1172,A,16,0,6,2,-1.0,0
1173,A,17,0,18,0,-1.0,1
1174,2,8,0,12,1,-1.0,0
1175,4,4,0,20,0,1.0,0
1176,6,8,1,20,0,1.0,0
1177,6,6,0,14,1,-1.0,0
1178,A,6,0,14,0,-1.0,1
1179,6,18,1,15,1,-1.0,0
1180,4,11,0,14,1,1.0,1
1181,5,9,0,12,1,-1.0,0
1182,9,19,0,12,1,1.0,1
1183,3,12,0,20,0,1.0,0
1184,3,5,0,10,3,1.0,1
1185,3,9,0,12,2,-1.0,0
1186,8,16,0,12,2,1.0,1
1187,6,8,0,9,2,-1.0,0
1188,8,10,0,20,0,1.0,0
1189,9,8,0,21,0,1.0,0
1190,5,11,0,18,0,1.0,0
1191,5,6,1,13,1,1.0,1
1192,3,6,1,18,0,1.0,0
1193,3,15,1,20,0,1.0,0
1194,3,14,1,10,1,1.0,1
1195,9,13,1,19,0,1.0,0
1196,2,11,0,20,0,-1.0,1
1197,K,11,0,13,1,1.0,1
1198,4,5,0,10,2,-1.0,0
1199,9,15,0,7,2,1.0,1
1200,8,13,0,14,1,-1.0,0
1201,4,5,0,17,1,-1.0,0
1202,K,11,1,11,2,-1.0,0
1203,A,11,0,13,2,-1.0,0
1204,6,10,1,20,0,1.0,0
1205,A,15,0,16,0,-1.0,1
1206,10,12,0,14,1,-1.0,0
1207,5,15,0,14,2,1.0,1
1208,Q,17,1,7,3,-1.0,0
1209,6,9,1,20,0,1.0,0
1210,3,10,0,19,0,-1.0,1
1211,8,18,0,20,0,1.0,0
1212,5,9,0,12,2,-1.0,0
1213,10,12,0,13,2,-1.0,0
1214,5,10,1,15,2,-1.0,0
1215,4,6,0,21,0,1.0,0
1216,6,13,0,9,1,1.0,1
1217,3,2,1,12,3,-1.0,0
1218,8,12,0,14,2,1.0,1
1219,A,10,1,18,0,1.0,0
1220,J,12,0,13,1,1.0,1
1221,5,12,0,11,1,1.0,1
1222,K,21,0,15,3,-1.0,0
1223,J,13,1,18,0,1.0,0
1224,5,9,0,12,1,1.0,1
1225,3,5,1,13,2,-1.0,0
1226,5,10,0,17,0,1.0,0
1227,A,19,0,15,0,-1.0,1
1228,9,16,0,12,1,-1.0,0
1229,2,8,1,16,1,1.0,1
1230,5,11,0,16,1,-1.0,0
1231,A,12,0,18,0,1.0,0
1232,2,6,1,16,1,-1.0,0
1233,2,5,0,13,1,-1.0,0
1234,A,14,0,11,0,-1.0,1
1235,5,18,0,16,1,-1.0,0
1236,10,18,0,15,1,1.0,1
1237,5,13,0,12,2,1.0,1
1238,5,7,0,13,1,-1.0,0
1239,3,9,0,7,2,-1.0,0
1240,3,6,0,13,2,-1.0,0
1241,2,5,0,14,1,-1.0,0
1242,2,9,1,14,1,1.0,1
1243,J,18,0,15,0,-1.0,1
1244,9,11,1,13,1,1.0,1
1245,6,11,0,18,0,-1.0,1
1246,7,8,0,17,0,-1.0,1
1247,4,7,1,7,2,-1.0,0
1248,4,4,0,4,2,-1.0,0
1249,K,18,1,9,2,1.0,1
1250,Q,13,1,7,1,1.0,1
1251,Q,20,0,17,1,-1.0,0
1252,5,8,0,12,2,-1.0,0
1253,2,8,0,20,0,1.0,0
1254,9,10,1,17,0,1.0,0
1255,9,17,0,7,2,-1.0,0
1256,6,10,1,18,0,1.0,0
1257,8,7,1,14,1,1.0,1
1258,3,9,0,18,0,1.0,0
1259,8,13,0,21,0,1.0,0
1260,K,14,0,21,0,1.0,0
1261,Q,12,0,12,1,-1.0,0
1262,9,7,1,21,0,1.0,0
1263,Q,21,0,20,0,1.0,0
1264,Q,14,0,11,1,1.0,1
1265,10,20,0,20,0,1.0,0
1266,6,11,0,7,2,-1.0,0
1267,9,18,0,12,2,1.0,1
1268,2,9,0,11,1,1.0,1
1269,Q,12,1,13,1,1.0,1
1270,10,9,1,10,1,1.0,1
1271,2,9,0,11,2,-1.0,0
1272,10,14,0,20,0,1.0,0
1273,8,14,0,14,2,-1.0,0
1274,7,11,0,18,0,1.0,0
1275,9,13,0,11,1,1.0,1
1276,5,2,0,21,0,1.0,0
1277,K,18,0,9,2,1.0,1
1278,10,13,1,16,1,-1.0,0
1279,K,22,0,21,0,1.0,0
1280,J,20,0,16,2,-1.0,0
1281,10,13,0,14,3,-1.0,0
1282,K,18,0,14,1,1.0,1
1283,9,13,1,18,0,1.0,0
1284,5,6,0,18,0,-1.0,1
1285,8,11,0,10,2,-1.0,0
1286,5,11,0,15,1,1.0,1
1287,J,16,0,21,0,1.0,0
1288,4,3,0,16,1,1.0,1
1289,6,8,0,15,2,-1.0,0
1290,8,10,0,13,1,1.0,1
1291,7,19,0,16,1,-1.0,0
1292,J,21,0,17,2,-1.0,0
1293,J,16,1,19,1,1.0,1
1294,8,16,1,17,1,-1.0,0
1295,A,17,0,19,1,1.0,1
1296,10,18,0,14,2,1.0,1
1297,5,9,0,9,1,1.0,1
1298,Q,17,0,8,2,-1.0,0
1299,2,3,1,12,2,1.0,1
1300,4,10,0,20,0,1.0,0
1301,K,7,0,14,0,-1.0,1
1302,3,5,0,16,2,-1.0,0
1303,4,8,0,14,2,-1.0,0
1304,9,13,1,17,1,-1.0,0
1305,A,19,0,15,2,-1.0,0
1306,6,17,0,13,1,-1.0,0
1307,2,9,0,12,2,-1.0,0
1308,9,18,0,11,2,-1.0,0
1309,K,17,0,15,1,1.0,1
1310,J,14,1,19,0,1.0,0
1311,9,16,0,18,1,-1.0,0
1312,Q,9,1,20,0,1.0,0
1313,2,8,1,15,1,-1.0,0
1314,J,14,0,12,4,-1.0,0
1315,2,-2,0,18,0,1.0,0
1316,Q,6,0,16,0,-1.0,1
1317,8,8,1,16,0,1.0,0
1318,Q,20,0,16,1,-1.0,0
1319,4,9,0,16,1,-1.0,0
1320,8,18,0,14,2,-1.0,0
1321,A,21,0,20,0,-1.0,1
1322,5,14,1,12,1,1.0,1
1323,5,12,1,21,0,1.0,0
1324,J,12,1,21,0,1.0,0
1325,7,11,1,13,1,-1.0,0
1326,J,16,0,14,1,1.0,1
1327,6,10,0,17,0,-1.0,1
1328,9,7,1,19,0,1.0,0
1329,A,16,0,13,0,-1.0,1
1330,8,5,1,18,0,1.0,0
1331,6,7,0,10,2,-1.0,0
1332,10,5,0,12,0,-1.0,1
1333,J,17,1,11,2,-1.0,0
1334,Q,17,0,6,3,-1.0,0
1335,6,16,1,11,1,1.0,1
1336,3,4,1,16,1,-1.0,0
1337,8,17,0,12,2,-1.0,0
1338,5,11,1,15,2,1.0,1
1339,10,17,0,17,1,-1.0,0
1340,3,1,1,19,0,1.0,0
1341,4,6,0,16,1,-1.0,0
1342,2,7,0,9,2,1.0,1
1343,3,5,0,10,2,1.0,1
1344,A,11,0,15,0,-1.0,1
1345,K,11,0,20,0,1.0,0
1346,3,15,1,7,2,-1.0,0
1347,4,11,1,11,2,-1.0,0
1348,4,12,1,12,1,1.0,1
1349,3,11,0,15,1,-1.0,0
1350,7,14,0,16,1,-1.0,0
1351,5,12,1,14,2,1.0,1
1352,K,16,0,17,1,-1.0,0
1353,K,15,0,20,0,1.0,0
1354,Q,16,0,19,1,-1.0,0
1355,9,13,0,21,0,1.0,0
1356,K,8,1,19,0,1.0,0
1357,2,-2,0,9,2,1.0,1
1358,4,6,0,14,1,1.0,1
1359,10,9,0,20,0,1.0,0
1360,6,17,0,15,1,1.0,1
1361,5,14,0,13,1,-1.0,0
1362,8,15,0,20,0,-1.0,1
1363,10,15,1,10,1,1.0,1
1364,6,15,1,16,1,1.0,1
1365,8,16,0,14,2,-1.0,0
1366,10,18,0,9,1,1.0,1
1367,7,14,0,6,2,-1.0,0
1368,7,13,0,20,0,1.0,0
1369,2,5,0,8,2,-1.0,0
1370,2,1,0,19,0,-1.0,1
1371,10,12,0,13,2,1.0,1
1372,7,11,0,9,1,1.0,1
1373,J,5,1,13,0,1.0,0
1374,2,14,1,11,2,-1.0,0
1375,K,15,1,10,3,-1.0,0
1376,8,15,0,17,1,-1.0,0
1377,3,8,0,12,1,1.0,1
1378,10,12,0,15,1,-1.0,0
1379,8,16,0,11,2,1.0,1
1380,10,14,0,15,2,-1.0,0
1381,8,15,0,19,0,1.0,0
1382,A,17,0,13,0,-1.0,1
1383,3,2,0,13,1,1.0,1
1384,Q,15,0,9,2,-1.0,0
1385,6,10,1,13,2,-1.0,0
1386,K,9,1,21,0,1.0,0
1387,7,6,1,8,1,1.0,1
1388,K,15,1,18,1,-1.0,0
1389,3,10,1,15,1,-1.0,0
1390,8,15,1,16,1,-1.0,0
1391,J,14,1,14,4,-1.0,0
1392,9,17,0,15,1,-1.0,0
1393,8,12,1,12,1,1.0,1
1394,4,12,0,12,1,-1.0,0
1395,7,14,0,16,1,1.0,1
1396,9,15,0,6,3,-1.0,0
1397,J,15,0,11,3,-1.0,0
1398,K,14,0,13,1,-1.0,0
1399,4,6,1,11,1,1.0,1
1400,K,9,1,16,0,1.0,0
1401,7,19,0,11,1,1.0,1
1402,A,18,0,12,1,-1.0,0
1403,5,13,0,17,0,-1.0,1
1404,9,19,0,13,1,-1.0,0
1405,J,11,1,13,1,-1.0,0
1406,3,5,1,12,1,-1.0,0
1407,Q,16,0,12,2,-1.0,0
1408,2,4,0,20,0,-1.0,1
1409,K,12,1,10,1,1.0,1
1410,J,17,0,13,0,-1.0,1
1411,Q,7,0,17,0,-1.0,1
1412,2,0,0,12,1,-1.0,0
1413,3,7,1,14,1,-1.0,0
1414,A,14,0,19,0,-1.0,1
1415,2,10,1,10,1,1.0,1
1416,9,21,0,13,2,-1.0,0
1417,5,8,0,9,1,-1.0,0
1418,J,12,1,14,2,-1.0,0
1419,7,9,0,18,0,-1.0,1
1420,5,13,0,19,0,1.0,0
1421,K,10,0,17,0,-1.0,1
1422,J,11,1,14,1,-1.0,0
1423,10,9,1,20,0,1.0,0
1424,3,9,1,12,1,1.0,1
1425,Q,13,0,20,0,1.0,0
1426,A,8,0,15,0,-1.0,1
1427,K,12,0,13,1,-1.0,0
1428,7,10,0,5,2,-1.0,0
1429,4,9,0,12,1,-1.0,0
1430,K,21,0,11,2,-1.0,0
1431,Q,20,0,7,2,-1.0,0
1432,K,15,0,17,1,-1.0,0
1433,8,17,0,16,3,1.0,1
1434,K,11,1,18,0,1.0,0
1435,6,12,1,13,2,-1.0,0
1436,5,7,0,15,1,1.0,1
1437,5,12,0,11,2,1.0,1
1438,Q,11,0,17,0,-1.0,1
1439,A,14,0,6,2,1.0,1
1440,4,0,0,6,2,-1.0,0
1441,9,8,1,13,2,-1.0,0
1442,9,10,0,20,0,1.0,0
1443,Q,18,0,12,1,1.0,1
1444,4,9,0,17,1,1.0,1
1445,K,20,0,16,1,-1.0,0
1446,5,13,1,8,2,-1.0,0
1447,Q,18,0,19,1,-1.0,0
1448,J,18,0,8,2,-1.0,0
1449,3,3,0,11,2,-1.0,0
1450,5,12,1,10,2,1.0,1
1451,Q,12,1,10,1,1.0,1
1452,4,5,0,20,0,1.0,0
1453,5,4,1,9,1,1.0,1
1454,A,7,0,13,0,-1.0,1
1455,7,7,0,14,1,-1.0,0
1456,8,11,0,7,1,1.0,1
1457,K,14,1,9,2,-1.0,0
1458,7,17,1,12,1,-1.0,0
1459,8,15,1,10,1,1.0,1
1460,5,15,0,13,2,-1.0,0
1461,6,15,0,11,2,-1.0,0
1462,3,12,1,14,1,-1.0,0
1463,7,12,0,12,2,-1.0,0
1464,7,14,0,21,0,1.0,0
1465,3,3,0,20,0,1.0,0
1466,10,10,1,20,0,1.0,0
1467,A,13,0,11,1,1.0,1
