,dealer_card,dealer_estimated_value,dealer_bust,init_hand,hit,result,outcome
170,K,21,0,17,1,1.0,1
171,J,13,1,13,1,-1.0,0
172,5,9,0,13,2,-1.0,0
173,3,5,1,21,0,1.0,0
174,5,10,0,7,1,1.0,1
175,A,19,0,11,0,-1.0,1
176,9,16,0,6,2,-1.0,0
177,2,8,1,19,0,1.0,0
178,5,11,0,11,1,1.0,1
179,A,12,0,18,0,1.0,0
180,2,6,1,13,2,-1.0,0
181,2,5,0,13,3,-1.0,0
182,A,14,0,16,0,-1.0,1
183,5,18,0,8,1,1.0,1
184,10,18,0,11,2,-1.0,0
185,5,13,0,19,0,1.0,0
186,5,7,0,15,1,-1.0,0
187,3,9,0,20,0,1.0,0
188,3,6,0,6,2,-1.0,0
189,2,5,0,13,2,-1.0,0
190,2,9,1,20,0,1.0,0
191,J,18,0,19,0,-1.0,1
192,9,11,1,12,1,1.0,1
193,6,11,0,14,1,-1.0,0
194,7,8,0,10,1,1.0,1
195,4,7,1,13,1,-1.0,0
196,4,4,0,13,1,-1.0,0
197,K,18,1,20,0,1.0,0
198,Q,13,1,20,0,1.0,0
199,Q,20,0,14,1,1.0,1
200,5,8,0,17,1,-1.0,0
201,2,8,0,6,2,-1.0,0
202,9,10,1,14,1,-1.0,0
203,9,17,0,21,0,1.0,0
204,6,10,1,13,4,1.0,1
205,8,7,1,11,1,1.0,1
206,3,9,0,18,0,1.0,0
207,8,13,0,10,1,1.0,1
208,K,14,0,16,1,-1.0,0
209,Q,12,0,16,1,-1.0,0
210,9,7,1,11,1,1.0,1
211,Q,21,0,18,1,-1.0,0
212,Q,14,0,11,2,1.0,1
213,10,20,0,16,2,-1.0,0
214,6,11,0,11,2,-1.0,0
215,9,18,0,16,1,-1.0,0
216,2,9,0,12,2,-1.0,0
217,Q,12,1,20,0,1.0,0
218,10,9,1,11,1,1.0,1
219,2,9,0,16,1,-1.0,0
220,10,14,0,18,1,-1.0,0
221,8,14,0,19,0,1.0,0
222,7,11,0,17,0,1.0,0
223,9,13,0,20,0,1.0,0
224,5,2,0,10,1,-1.0,0
225,K,18,0,19,1,-1.0,0
226,10,13,1,12,1,1.0,1
227,K,22,0,14,0,-1.0,1
228,J,20,0,14,1,-1.0,0
229,10,13,0,13,2,-1.0,0
230,K,18,0,17,1,-1.0,0
231,9,13,1,17,1,-1.0,0
232,5,6,0,8,1,1.0,1
233,8,11,0,6,2,-1.0,0
234,5,11,0,16,1,-1.0,0
235,J,16,0,17,0,-1.0,1
236,4,3,0,13,1,-1.0,0
237,6,8,0,15,1,-1.0,0
238,8,10,0,14,1,1.0,1
239,7,19,0,6,3,-1.0,0
240,J,21,0,6,3,1.0,1
241,J,16,1,17,1,-1.0,0
242,8,16,1,20,0,1.0,0
243,A,17,0,12,1,-1.0,0
244,10,18,0,10,2,-1.0,0
245,5,9,0,8,1,-1.0,0
246,Q,17,0,20,0,1.0,0
247,2,3,1,21,0,1.0,0
248,4,10,0,13,1,-1.0,0
249,K,7,0,16,0,-1.0,1
250,3,5,0,16,2,1.0,1
251,4,8,0,14,1,-1.0,0
252,9,13,1,14,1,1.0,1
253,A,19,0,15,1,-1.0,0
254,6,17,0,21,0,1.0,0
255,2,9,0,19,0,-1.0,1
256,9,18,0,10,2,1.0,1
257,K,17,0,9,2,-1.0,0
258,J,14,1,16,1,-1.0,0
259,9,16,0,15,1,1.0,1
260,Q,9,1,20,0,1.0,0
261,2,8,1,8,2,-1.0,0
262,J,14,0,18,3,1.0,1
263,2,-2,0,15,2,-1.0,0
264,Q,6,0,13,0,-1.0,1
265,8,8,1,16,0,1.0,0
266,Q,20,0,19,1,1.0,1
267,4,9,0,5,1,-1.0,0
268,8,18,0,20,0,1.0,0
269,A,21,0,14,0,-1.0,1
270,5,14,1,20,0,1.0,0
271,5,12,1,12,1,-1.0,0
272,J,12,1,17,0,1.0,0
273,7,11,1,10,2,-1.0,0
274,J,16,0,17,1,-1.0,0
275,6,10,0,5,1,-1.0,0
276,9,7,1,19,0,1.0,0
277,A,16,0,14,0,-1.0,1
278,8,5,1,20,0,1.0,0
279,6,7,0,7,1,-1.0,0
280,10,5,0,12,0,-1.0,1
281,J,17,1,16,2,-1.0,0
282,Q,17,0,19,1,-1.0,0
283,6,16,1,14,1,1.0,1
284,3,4,1,20,0,1.0,0
285,8,17,0,18,1,-1.0,0
286,5,11,1,20,0,1.0,0
287,10,17,0,11,4,-1.0,0
288,3,1,1,16,1,1.0,1
289,4,6,0,21,0,1.0,0
290,2,7,0,12,1,-1.0,0
291,3,5,0,15,1,-1.0,0
292,A,11,0,14,1,-1.0,0
293,K,11,0,8,1,1.0,1
294,3,15,1,16,2,-1.0,0
295,4,11,1,16,1,-1.0,0
296,4,12,1,17,0,1.0,0
297,3,11,0,13,2,-1.0,0
298,7,14,0,12,1,1.0,1
299,5,12,1,20,0,1.0,0
300,K,16,0,19,1,1.0,1
301,K,15,0,13,1,-1.0,0
302,Q,16,0,15,2,-1.0,0
303,9,13,0,7,1,1.0,1
304,K,8,1,14,0,1.0,0
305,2,-2,0,16,1,-1.0,0
306,4,6,0,14,1,-1.0,0
307,10,9,0,17,0,-1.0,1
308,6,17,0,5,2,-1.0,0
309,5,14,0,14,1,-1.0,0
310,8,15,0,20,0,-1.0,1
311,10,15,1,16,2,1.0,1
312,6,15,1,18,0,1.0,0
313,8,16,0,15,1,-1.0,0
314,10,18,0,18,2,1.0,1
315,7,14,0,9,2,-1.0,0
316,7,13,0,20,0,1.0,0
317,2,5,0,17,1,-1.0,0
318,2,1,0,17,2,-1.0,0
319,10,12,0,14,1,1.0,1
320,7,11,0,21,0,1.0,0
321,J,5,1,19,0,1.0,0
322,2,14,1,5,2,1.0,1
323,K,15,1,15,1,-1.0,0
324,8,15,0,16,1,-1.0,0
325,3,8,0,9,1,1.0,1
326,10,12,0,14,1,1.0,1
327,8,16,0,15,1,-1.0,0
328,10,14,0,20,0,1.0,0
329,8,15,0,8,1,1.0,1
330,A,17,0,13,0,-1.0,1
331,3,2,0,16,1,-1.0,0
332,Q,15,0,20,0,1.0,0
333,6,10,1,18,0,1.0,0
334,K,9,1,14,0,1.0,0
335,7,6,1,15,0,1.0,0
336,K,15,1,21,0,1.0,0
337,3,10,1,12,1,-1.0,0
338,8,15,1,10,3,1.0,1
339,J,14,1,14,1,-1.0,0
340,9,17,0,10,2,-1.0,0
341,8,12,1,21,0,1.0,0
342,4,12,0,13,1,-1.0,0
343,7,14,0,16,1,-1.0,0
344,9,15,0,14,1,1.0,1
345,J,15,0,13,2,-1.0,0
346,K,14,0,7,2,-1.0,0
347,4,6,1,11,1,1.0,1
348,K,9,1,21,0,1.0,0
349,7,19,0,16,1,1.0,1
350,A,18,0,14,1,-1.0,0
351,5,13,0,14,1,-1.0,0
352,9,19,0,21,0,1.0,0
353,J,11,1,20,0,1.0,0
354,3,5,1,19,0,1.0,0
355,Q,16,0,6,2,1.0,1
356,2,4,0,14,1,-1.0,0
357,K,12,1,12,1,1.0,1
358,J,17,0,16,0,-1.0,1
359,Q,7,0,12,0,-1.0,1
360,2,0,0,17,1,-1.0,0
361,3,7,1,20,0,1.0,0
362,A,14,0,17,0,-1.0,1
363,2,10,1,21,0,1.0,0
364,9,21,0,21,0,1.0,0
365,5,8,0,19,0,-1.0,1
366,J,12,1,18,0,1.0,0
367,7,9,0,8,2,-1.0,0
368,5,13,0,8,1,1.0,1
369,K,10,0,16,0,-1.0,1
370,J,11,1,20,0,1.0,0
371,10,9,1,10,2,1.0,1
372,3,9,1,16,1,-1.0,0
373,Q,13,0,12,2,1.0,1
374,A,8,0,8,1,-1.0,0
375,K,12,0,12,1,1.0,1
376,7,10,0,14,1,-1.0,0
377,4,9,0,13,2,-1.0,0
378,K,21,0,11,2,-1.0,0
379,Q,20,0,13,2,-1.0,0
380,K,15,0,12,1,1.0,1
381,8,17,0,13,1,-1.0,0
382,K,11,1,21,0,1.0,0
383,6,12,1,18,0,1.0,0
384,5,7,0,9,2,1.0,1
385,5,12,0,12,1,-1.0,0
386,Q,11,0,17,0,-1.0,1
387,A,14,0,7,2,-1.0,0
388,4,0,0,11,2,-1.0,0
389,9,8,1,19,0,1.0,0
390,9,10,0,14,1,-1.0,0
391,Q,18,0,14,1,-1.0,0
392,4,9,0,12,1,-1.0,0
393,K,20,0,15,1,-1.0,0
394,5,13,1,20,0,1.0,0
395,Q,18,0,5,2,-1.0,0
396,J,18,0,20,0,1.0,0
397,3,3,0,18,0,-1.0,1
398,5,12,1,18,0,1.0,0
399,Q,12,1,9,1,1.0,1
400,4,5,0,17,1,1.0,1
401,5,4,1,20,0,1.0,0
402,A,7,0,18,0,1.0,0
403,7,7,0,18,0,-1.0,1
404,8,11,0,16,1,1.0,1
405,K,14,1,14,1,1.0,1
406,7,17,1,18,0,1.0,0
407,8,15,1,9,2,-1.0,0
408,5,15,0,19,0,1.0,0
409,6,15,0,12,1,-1.0,0
410,3,12,1,14,1,-1.0,0
411,7,12,0,19,0,-1.0,1
412,7,14,0,14,1,-1.0,0
413,3,3,0,12,1,-1.0,0
414,10,10,1,13,1,1.0,1
415,A,13,0,19,0,1.0,0
416,8,13,0,18,0,-1.0,1
417,5,6,0,11,2,1.0,1
418,5,0,0,20,0,1.0,0
419,7,16,1,14,1,1.0,1
420,K,19,0,15,1,-1.0,0
421,J,16,1,10,1,1.0,1
422,J,20,0,20,0,1.0,0
423,K,18,0,12,1,-1.0,0
424,Q,10,0,13,1,-1.0,0
425,J,16,0,20,0,1.0,0
426,4,5,1,13,1,1.0,1
427,6,11,1,14,1,1.0,1
428,8,11,0,16,1,-1.0,0
429,3,6,1,8,1,1.0,1
430,10,11,0,15,1,1.0,1
431,2,-2,0,16,1,-1.0,0
432,K,22,0,12,2,-1.0,0
433,A,22,0,8,0,-1.0,1
434,2,12,0,10,1,1.0,1
435,A,12,1,19,0,1.0,0
436,J,18,0,11,1,1.0,1
437,Q,20,0,13,0,-1.0,1
438,A,12,0,9,1,-1.0,0
439,6,12,0,14,1,-1.0,0
440,4,3,0,18,0,1.0,0
441,3,7,1,12,1,-1.0,0
442,8,10,1,19,0,1.0,0
443,7,6,0,20,0,-1.0,1
444,A,14,0,16,1,-1.0,0
445,3,3,0,19,0,1.0,0
446,K,18,1,16,1,1.0,1
447,K,21,0,19,1,-1.0,0
448,6,16,0,11,1,1.0,1
449,5,15,0,17,0,1.0,0
450,6,10,0,17,0,-1.0,1
451,2,12,0,14,2,-1.0,0
452,4,13,0,13,3,1.0,1
453,3,3,0,13,2,1.0,1
454,2,8,1,18,0,1.0,0
455,2,6,1,8,2,-1.0,0
456,5,2,0,17,0,-1.0,1
457,9,13,0,18,1,-1.0,0
458,6,5,0,17,0,-1.0,1
459,10,6,1,11,1,1.0,1
460,J,19,0,13,1,-1.0,0
461,K,14,0,18,1,-1.0,0
462,A,12,0,12,2,-1.0,0
463,A,12,1,15,1,1.0,1
464,3,11,0,17,1,-1.0,0
465,6,6,1,14,1,1.0,1
466,5,10,0,16,1,1.0,1
467,10,17,0,15,1,-1.0,0
468,Q,14,0,12,1,-1.0,0
469,K,16,0,16,1,-1.0,0
470,9,8,0,16,0,-1.0,1
471,J,10,1,10,3,-1.0,0
472,4,1,0,16,1,-1.0,0
473,3,6,0,13,1,-1.0,0
474,5,12,0,20,0,-1.0,1
475,7,18,0,20,0,1.0,0
476,9,17,0,15,1,-1.0,0
477,7,17,0,12,2,-1.0,0
478,8,18,0,13,2,-1.0,0
479,3,3,0,17,1,-1.0,0
480,6,7,0,20,0,1.0,0
481,7,14,0,14,1,-1.0,0
482,9,15,0,6,1,1.0,1
483,A,13,0,10,1,1.0,1
484,4,9,1,18,0,1.0,0
485,10,14,0,10,3,-1.0,0
486,4,8,0,15,1,1.0,1
487,4,1,0,13,1,-1.0,0
