,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome
15048,7,26,1,20,0,1.0,0
15049,6,21,0,17,0,-1.0,1
15050,Q,18,0,16,0,-1.0,1
15051,Q,20,0,8,0,-1.0,1
15052,9,19,0,12,0,-1.0,1
15053,5,17,0,4,0,-1.0,1
15054,A,21,0,12,0,-1.0,1
15055,10,20,0,18,0,-1.0,1
15056,A,21,0,7,0,-1.0,1
15057,4,17,0,16,0,-1.0,1
15058,5,18,0,11,1,1.0,1
15059,9,19,0,18,0,-1.0,1
15060,9,19,0,13,0,-1.0,1
15061,6,23,1,18,0,1.0,0
15062,9,19,0,16,0,-1.0,1
15063,Q,21,0,15,0,-1.0,1
15064,8,17,0,12,0,-1.0,1
15065,10,17,0,20,0,1.0,0
15066,3,23,1,13,0,1.0,0
15067,5,24,1,13,0,1.0,0
15068,Q,20,0,15,0,-1.0,1
15069,J,22,1,20,0,1.0,0
15070,8,18,0,20,0,1.0,0
15071,7,24,1,21,0,1.0,0
15072,4,21,0,16,0,-1.0,1
15073,K,22,1,17,0,1.0,0
15074,A,18,0,13,0,-1.0,1
15075,8,17,0,14,0,-1.0,1
15076,2,19,0,15,0,-1.0,1
15077,10,20,0,12,0,-1.0,1
15078,8,21,0,12,0,-1.0,1
15079,10,17,0,21,0,1.0,0
15080,3,19,0,16,0,-1.0,1
15081,5,20,0,11,0,-1.0,1
15082,8,26,1,14,0,1.0,0
15083,8,17,0,20,0,1.0,0
15084,9,19,0,9,1,-1.0,0
15085,10,18,0,19,0,1.0,0
15086,6,24,1,12,0,1.0,0
15087,Q,19,0,10,0,-1.0,1
15088,J,22,1,11,0,1.0,0
15089,J,21,0,13,0,-1.0,1
15090,4,20,0,18,0,-1.0,1
15091,2,18,0,5,0,-1.0,1
15092,10,21,0,13,0,-1.0,1
15093,10,17,0,14,0,-1.0,1
15094,A,20,0,13,0,-1.0,1
15095,4,26,1,20,0,1.0,0
15096,10,18,0,10,0,-1.0,1
15097,K,19,0,12,0,-1.0,1
15098,3,19,0,12,0,-1.0,1
15099,Q,21,0,16,0,-1.0,1
15100,10,20,0,20,0,0.0,0
15101,10,17,0,7,1,-1.0,0
15102,K,21,0,21,0,0.0,0
15103,8,18,0,12,0,-1.0,1
15104,5,20,0,9,1,-1.0,0
15105,J,22,1,16,0,1.0,0
15106,K,20,0,15,0,-1.0,1
15107,10,17,0,13,0,-1.0,1
15108,6,23,1,19,0,1.0,0
15109,A,21,0,10,0,-1.0,1
15110,5,20,0,18,0,-1.0,1
15111,3,21,0,12,0,-1.0,1
15112,Q,26,1,12,0,1.0,0
15113,A,18,0,19,0,1.0,0
15114,A,19,0,10,0,-1.0,1
15115,K,18,0,10,0,-1.0,1
15116,8,18,0,20,0,1.0,0
15117,J,21,0,11,0,-1.0,1
15118,2,25,1,10,0,1.0,0
15119,4,22,1,15,0,1.0,0
15120,10,17,0,16,0,-1.0,1
15121,5,25,1,12,0,1.0,0
15122,J,20,0,17,0,-1.0,1
15123,6,17,0,12,0,-1.0,1
15124,Q,20,0,19,0,-1.0,1
15125,6,19,0,12,0,-1.0,1
15126,Q,22,1,15,0,1.0,0
15127,2,20,0,17,0,-1.0,1
15128,A,21,0,16,0,-1.0,1
15129,Q,18,0,21,0,1.0,0
15130,5,23,1,14,0,1.0,0
15131,A,24,1,19,0,1.0,0
15132,3,23,1,18,0,1.0,0
15133,4,23,1,12,0,1.0,0
15134,8,17,0,19,0,1.0,0
15135,8,19,0,11,1,-1.0,0
15136,6,17,0,20,0,1.0,0
15137,4,23,1,6,0,1.0,0
15138,8,17,0,18,0,1.0,0
15139,Q,20,0,20,0,0.0,0
15140,A,21,0,20,0,-1.0,1
15141,2,17,0,13,0,-1.0,1
15142,10,18,0,16,0,-1.0,1
15143,3,19,0,11,1,1.0,1
15144,K,20,0,14,0,-1.0,1
15145,4,23,1,14,0,1.0,0
15146,A,21,0,20,0,-1.0,1
15147,8,18,0,15,0,-1.0,1
15148,5,18,0,15,0,-1.0,1
15149,4,17,0,13,0,-1.0,1
15150,K,24,1,12,0,1.0,0
15151,10,20,0,14,0,-1.0,1
15152,K,20,0,21,0,1.0,0
15153,J,21,0,20,0,-1.0,1
15154,8,21,0,13,0,-1.0,1
15155,J,22,1,16,0,1.0,0
15156,10,20,0,13,0,-1.0,1
15157,8,25,1,20,0,1.0,0
15158,4,24,1,15,0,1.0,0
15159,7,19,0,16,0,-1.0,1
15160,K,19,0,17,0,-1.0,1
15161,3,18,0,20,0,1.0,0
15162,10,17,0,15,0,-1.0,1
15163,Q,20,0,20,0,0.0,0
15164,4,18,0,8,1,0.0,1
15165,8,18,0,14,0,-1.0,1
15166,3,17,0,14,0,-1.0,1
15167,4,17,0,11,0,-1.0,1
15168,10,18,0,19,0,1.0,0
15169,10,22,1,19,0,1.0,0
15170,9,17,0,17,0,0.0,0
15171,9,19,0,17,0,-1.0,1
15172,J,21,0,14,0,-1.0,1
15173,9,19,0,13,0,-1.0,1
15174,5,25,1,20,0,1.0,0
15175,8,19,0,20,0,1.0,0
15176,K,17,0,13,0,-1.0,1
15177,2,18,0,9,1,-1.0,0
15178,6,19,0,12,0,-1.0,1
15179,Q,22,1,12,0,1.0,0
15180,2,22,1,12,0,1.0,0
15181,5,18,0,20,0,1.0,0
15182,K,18,0,13,0,-1.0,1
15183,Q,20,0,10,1,1.0,1
15184,10,24,1,14,0,1.0,0
15185,3,18,0,10,1,1.0,1
15186,4,25,1,20,0,1.0,0
15187,7,26,1,5,1,1.0,1
15188,9,22,1,11,1,1.0,1
15189,2,21,0,17,0,-1.0,1
15190,6,17,0,10,1,1.0,1
15191,5,24,1,13,0,1.0,0
15192,3,18,0,21,0,1.0,0
15193,J,24,1,20,0,1.0,0
15194,7,18,0,20,0,1.0,0
15195,2,23,1,21,0,1.0,0
15196,6,22,1,18,0,1.0,0
15197,K,19,0,9,0,-1.0,1
15198,2,17,0,8,0,-1.0,1
15199,7,21,0,19,0,-1.0,1
15200,8,17,0,20,0,1.0,0
15201,9,18,0,7,1,-1.0,0
15202,4,21,0,16,0,-1.0,1
15203,A,17,0,17,0,0.0,0
15204,4,23,1,15,0,1.0,0
15205,K,18,0,19,0,1.0,0
15206,3,18,0,18,0,0.0,0
15207,Q,23,1,20,0,1.0,0
15208,10,18,0,21,0,1.0,0
15209,2,22,1,19,0,1.0,0
15210,3,23,1,18,0,1.0,0
15211,J,20,0,12,0,-1.0,1
15212,5,20,0,14,0,-1.0,1
15213,7,18,0,14,0,-1.0,1
15214,Q,26,1,21,0,1.0,0
15215,6,21,0,13,0,-1.0,1
15216,10,24,1,16,0,1.0,0
15217,8,19,0,20,0,1.0,0
15218,9,25,1,18,0,1.0,0
15219,7,17,0,13,0,-1.0,1
15220,7,17,0,16,0,-1.0,1
15221,5,21,0,11,0,-1.0,1
15222,9,19,0,20,0,1.0,0
15223,A,19,0,14,0,-1.0,1
15224,8,18,0,15,0,-1.0,1
15225,4,17,0,10,0,-1.0,1
15226,10,19,0,17,0,-1.0,1
15227,A,19,0,16,0,-1.0,1
15228,7,17,0,14,0,-1.0,1
15229,Q,19,0,21,0,1.0,0
15230,Q,20,0,16,0,-1.0,1
15231,6,24,1,20,0,1.0,0
15232,2,24,1,16,0,1.0,0
15233,Q,19,0,18,0,-1.0,1
15234,9,20,0,11,1,-1.0,0
15235,7,17,0,6,0,-1.0,1
15236,Q,20,0,20,0,0.0,0
15237,6,26,1,21,0,1.0,0
15238,6,17,0,16,0,-1.0,1
15239,2,17,0,12,0,-1.0,1
15240,5,20,0,19,0,-1.0,1
15241,A,21,0,20,0,-1.0,1
15242,4,21,0,6,1,-1.0,0
15243,7,18,0,16,0,-1.0,1
15244,K,22,1,12,0,1.0,0
15245,6,21,0,18,0,-1.0,1
15246,8,17,0,5,1,-1.0,0
15247,4,20,0,10,0,-1.0,1
15248,Q,19,0,21,0,1.0,0
15249,Q,21,0,20,0,-1.0,1
15250,9,19,0,20,0,1.0,0
15251,5,18,0,13,0,-1.0,1
15252,6,18,0,20,0,1.0,0
15253,10,18,0,13,0,-1.0,1
15254,2,20,0,10,0,-1.0,1
15255,5,25,1,6,0,1.0,0
15256,J,19,0,15,0,-1.0,1
15257,5,21,0,18,0,-1.0,1
15258,5,18,0,12,0,-1.0,1
15259,5,23,1,12,0,1.0,0
15260,3,24,1,8,1,1.0,1
15261,4,24,1,11,1,1.0,1
15262,5,23,1,21,0,1.0,0
15263,7,25,1,21,0,1.0,0
15264,4,20,0,15,0,-1.0,1
15265,K,21,0,21,0,0.0,0
15266,A,19,0,12,0,-1.0,1
15267,7,22,1,19,0,1.0,0
15268,3,22,1,16,0,1.0,0
15269,10,18,0,20,0,1.0,0
15270,9,19,0,15,0,-1.0,1
15271,4,24,1,8,0,1.0,0
15272,6,21,0,16,0,-1.0,1
15273,10,18,0,8,1,-1.0,0
15274,6,21,0,14,0,-1.0,1
15275,8,25,1,19,0,1.0,0
15276,10,19,0,13,0,-1.0,1
15277,8,17,0,19,0,1.0,0
15278,6,17,0,4,1,1.0,1
15279,A,24,1,15,0,1.0,0
15280,A,21,0,17,0,-1.0,1
15281,4,22,1,17,0,1.0,0
15282,9,17,0,20,0,1.0,0
15283,9,17,0,7,0,-1.0,1
15284,5,23,1,20,0,1.0,0
15285,J,26,1,14,0,1.0,0
15286,K,18,0,15,0,-1.0,1
15287,4,19,0,16,0,-1.0,1
15288,Q,18,0,15,0,-1.0,1
15289,4,19,0,15,0,-1.0,1
15290,K,20,0,15,0,-1.0,1
15291,5,19,0,17,0,-1.0,1
15292,6,20,0,21,0,1.0,0
15293,5,21,0,20,0,-1.0,1
15294,Q,18,0,13,0,-1.0,1
15295,5,21,0,5,0,-1.0,1
15296,K,19,0,9,0,-1.0,1
15297,K,17,0,15,0,-1.0,1
15298,4,17,0,19,0,1.0,0
15299,K,19,0,19,0,0.0,0
15300,K,22,1,8,0,1.0,0
15301,8,20,0,17,0,-1.0,1
15302,3,23,1,13,0,1.0,0
15303,3,17,0,16,0,-1.0,1
15304,J,21,0,5,0,-1.0,1
15305,7,19,0,20,0,1.0,0
15306,3,24,1,17,0,1.0,0
15307,4,19,0,19,0,0.0,0
15308,6,19,0,13,0,-1.0,1
15309,8,18,0,8,0,-1.0,1
15310,6,23,1,10,0,1.0,0
15311,10,22,1,7,1,1.0,1
15312,Q,24,1,16,0,1.0,0
15313,2,22,1,7,1,1.0,1
15314,A,24,1,15,0,1.0,0
15315,8,18,0,14,0,-1.0,1
15316,9,25,1,14,0,1.0,0
15317,9,19,0,13,0,-1.0,1
15318,J,21,0,20,0,-1.0,1
15319,2,22,1,20,0,1.0,0
15320,4,22,1,17,0,1.0,0
15321,10,19,0,13,0,-1.0,1
15322,8,25,1,11,0,1.0,0
15323,Q,21,0,17,0,-1.0,1
15324,9,19,0,21,0,1.0,0
15325,7,23,1,6,1,1.0,1
15326,10,22,1,16,0,1.0,0
15327,8,18,0,20,0,1.0,0
15328,10,20,0,12,0,-1.0,1
15329,Q,19,0,17,0,-1.0,1
15330,9,22,1,19,0,1.0,0
15331,10,21,0,12,0,-1.0,1
15332,2,19,0,16,0,-1.0,1
15333,4,25,1,20,0,1.0,0
15334,8,18,0,12,0,-1.0,1
15335,7,17,0,17,0,0.0,0
15336,2,18,0,13,0,-1.0,1
15337,2,23,1,6,0,1.0,0
15338,K,20,0,12,0,-1.0,1
15339,9,18,0,21,0,1.0,0
15340,8,18,0,17,0,-1.0,1
15341,9,19,0,14,0,-1.0,1
15342,9,17,0,13,0,-1.0,1
15343,9,20,0,18,0,-1.0,1
15344,4,24,1,6,0,1.0,0
15345,J,19,0,13,0,-1.0,1
15346,8,18,0,21,0,1.0,0
15347,8,21,0,13,0,-1.0,1
15348,A,20,0,14,0,-1.0,1
15349,8,20,0,20,0,0.0,0
15350,6,21,0,15,0,-1.0,1
15351,Q,18,0,19,0,1.0,0
15352,A,20,0,16,0,-1.0,1
15353,8,18,0,13,0,-1.0,1
15354,A,21,0,8,0,-1.0,1
15355,3,19,0,19,0,0.0,0
15356,J,20,0,15,0,-1.0,1
15357,9,21,0,9,1,-1.0,0
15358,10,25,1,20,0,1.0,0
15359,2,20,0,19,0,-1.0,1
15360,J,21,0,19,0,-1.0,1
15361,Q,20,0,13,0,-1.0,1
15362,4,20,0,11,1,1.0,1
15363,6,19,0,13,0,-1.0,1
15364,2,19,0,18,0,-1.0,1
15365,9,23,1,18,0,1.0,0
15366,K,17,0,16,0,-1.0,1
15367,4,21,0,17,0,-1.0,1
15368,8,20,0,9,1,-1.0,0
15369,10,21,0,13,0,-1.0,1
15370,10,20,0,12,0,-1.0,1
15371,2,19,0,14,0,-1.0,1
15372,4,22,1,17,0,1.0,0
15373,4,20,0,13,0,-1.0,1
15374,9,19,0,15,0,-1.0,1
15375,A,17,0,16,0,-1.0,1
15376,8,21,0,12,0,-1.0,1
15377,8,26,1,13,0,1.0,0
15378,A,21,0,10,0,-1.0,1
15379,7,18,0,18,0,0.0,0
15380,J,26,1,17,0,1.0,0
15381,8,21,0,17,0,-1.0,1
15382,9,19,0,20,0,1.0,0
15383,9,18,0,12,0,-1.0,1
15384,5,26,1,8,1,1.0,1
15385,2,17,0,17,0,0.0,0
15386,A,17,0,19,0,1.0,0
15387,7,17,0,6,0,-1.0,1
15388,8,18,0,11,0,-1.0,1
15389,Q,20,0,9,1,-1.0,0
15390,9,19,0,14,0,-1.0,1
15391,2,18,0,17,0,-1.0,1
15392,4,25,1,21,0,1.0,0
15393,7,20,0,16,0,-1.0,1
15394,10,20,0,12,0,-1.0,1
15395,2,18,0,20,0,1.0,0
15396,10,20,0,14,0,-1.0,1
15397,5,19,0,20,0,1.0,0
15398,6,24,1,14,0,1.0,0
15399,9,23,1,11,0,1.0,0
15400,Q,19,0,19,0,0.0,0
15401,10,17,0,13,0,-1.0,1
15402,5,17,0,8,0,-1.0,1
15403,K,19,0,19,0,0.0,0
15404,2,17,0,13,0,-1.0,1
15405,5,25,1,12,0,1.0,0
15406,9,17,0,14,0,-1.0,1
15407,10,21,0,11,0,-1.0,1
15408,6,19,0,10,1,0.0,1
15409,K,17,0,20,0,1.0,0
15410,5,19,0,11,0,-1.0,1
15411,Q,17,0,21,0,1.0,0
15412,2,22,1,18,0,1.0,0
15413,6,17,0,11,1,1.0,1
15414,9,19,0,14,0,-1.0,1
15415,7,24,1,9,0,1.0,0
15416,3,23,1,20,0,1.0,0
15417,5,23,1,14,0,1.0,0
15418,9,17,0,14,0,-1.0,1
15419,3,19,0,15,0,-1.0,1
15420,10,20,0,12,0,-1.0,1
15421,4,19,0,16,0,-1.0,1
15422,5,20,0,16,0,-1.0,1
15423,5,21,0,12,0,-1.0,1
15424,4,25,1,13,0,1.0,0
15425,4,19,0,17,0,-1.0,1
15426,J,21,0,5,0,-1.0,1
15427,10,18,0,15,0,-1.0,1
15428,K,19,0,14,0,-1.0,1
15429,10,19,0,11,1,-1.0,0
15430,K,20,0,20,0,0.0,0
15431,9,18,0,10,1,-1.0,0
15432,Q,26,1,13,0,1.0,0
15433,9,19,0,11,1,1.0,1
15434,K,17,0,20,0,1.0,0
15435,A,19,0,13,0,-1.0,1
15436,8,20,0,16,0,-1.0,1
15437,K,22,1,17,0,1.0,0
15438,Q,19,0,7,0,-1.0,1
15439,J,23,1,21,0,1.0,0
15440,K,20,0,19,0,-1.0,1
15441,7,17,0,12,0,-1.0,1
15442,K,21,0,14,0,-1.0,1
15443,2,21,0,19,0,-1.0,1
15444,5,18,0,21,0,1.0,0
15445,A,20,0,11,0,-1.0,1
15446,6,17,0,9,1,-1.0,0
15447,9,20,0,12,0,-1.0,1
15448,6,20,0,18,0,-1.0,1
15449,4,23,1,13,0,1.0,0
15450,A,18,0,20,0,1.0,0
15451,9,19,0,12,0,-1.0,1
15452,9,19,0,17,0,-1.0,1
15453,5,23,1,13,0,1.0,0
15454,5,23,1,16,0,1.0,0
15455,2,24,1,11,1,1.0,1
15456,7,19,0,15,0,-1.0,1
15457,9,19,0,12,0,-1.0,1
15458,K,17,0,14,0,-1.0,1
15459,5,21,0,8,0,-1.0,1
15460,A,21,0,12,0,-1.0,1
15461,4,19,0,10,0,-1.0,1
15462,9,19,0,17,0,-1.0,1
15463,J,20,0,19,0,-1.0,1
15464,4,23,1,21,0,1.0,0
15465,K,20,0,14,0,-1.0,1
15466,7,17,0,13,0,-1.0,1
15467,A,21,0,14,0,-1.0,1
15468,6,21,0,7,1,-1.0,0
15469,Q,20,0,14,0,-1.0,1
15470,7,18,0,20,0,1.0,0
15471,9,26,1,13,0,1.0,0
15472,10,25,1,17,0,1.0,0
15473,5,22,1,9,0,1.0,0
15474,10,17,0,20,0,1.0,0
15475,6,17,0,10,0,-1.0,1
15476,4,17,0,20,0,1.0,0
15477,2,20,0,17,0,-1.0,1
15478,J,20,0,8,1,-1.0,0
15479,A,21,0,14,0,-1.0,1
15480,J,18,0,15,0,-1.0,1
15481,10,21,0,16,0,-1.0,1
15482,K,17,0,20,0,1.0,0
15483,10,25,1,7,1,1.0,1
15484,6,18,0,16,0,-1.0,1
15485,4,20,0,20,0,0.0,0
15486,A,18,0,20,0,1.0,0
15487,9,19,0,13,0,-1.0,1
15488,J,22,1,15,0,1.0,0
15489,10,19,0,9,0,-1.0,1
15490,6,25,1,14,0,1.0,0
15491,Q,25,1,18,0,1.0,0
15492,6,20,0,12,0,-1.0,1
15493,Q,21,0,17,0,-1.0,1
15494,3,26,1,13,0,1.0,0
15495,K,18,0,20,0,1.0,0
15496,9,19,0,18,0,-1.0,1
15497,4,24,1,19,0,1.0,0
15498,8,24,1,10,1,1.0,1
15499,5,24,1,12,0,1.0,0
15500,2,17,0,9,1,-1.0,0
15501,J,22,1,13,0,1.0,0
15502,5,20,0,16,0,-1.0,1
15503,2,25,1,10,0,1.0,0
15504,5,21,0,18,0,-1.0,1
15505,9,17,0,16,0,-1.0,1
15506,9,21,0,16,0,-1.0,1
15507,10,22,1,18,0,1.0,0
15508,8,21,0,13,0,-1.0,1
15509,5,25,1,15,0,1.0,0
15510,7,25,1,14,0,1.0,0
15511,4,21,0,16,0,-1.0,1
15512,7,26,1,16,0,1.0,0
15513,2,18,0,20,0,1.0,0
15514,8,18,0,11,0,-1.0,1
15515,8,17,0,18,0,1.0,0
15516,A,20,0,13,0,-1.0,1
15517,K,20,0,12,0,-1.0,1
15518,10,26,1,16,0,1.0,0
15519,K,20,0,13,0,-1.0,1
15520,4,21,0,17,0,-1.0,1
15521,8,23,1,11,1,1.0,1
15522,K,21,0,19,0,-1.0,1
15523,3,18,0,20,0,1.0,0
15524,3,23,1,9,0,1.0,0
15525,7,19,0,19,0,0.0,0
15526,K,24,1,20,0,1.0,0
15527,4,22,1,9,0,1.0,0
15528,6,22,1,11,1,1.0,1
15529,4,18,0,14,0,-1.0,1
15530,5,18,0,19,0,1.0,0
15531,2,20,0,14,0,-1.0,1
15532,A,22,1,15,0,1.0,0
15533,8,19,0,18,0,-1.0,1
15534,7,17,0,14,0,-1.0,1
15535,7,18,0,8,1,-1.0,0
15536,Q,21,0,16,0,-1.0,1
15537,2,19,0,11,0,-1.0,1
15538,K,20,0,14,0,-1.0,1
15539,K,22,1,13,0,1.0,0
15540,A,17,0,14,0,-1.0,1
15541,10,17,0,20,0,1.0,0
15542,10,17,0,15,0,-1.0,1
15543,10,18,0,20,0,1.0,0
15544,9,18,0,9,0,-1.0,1
15545,A,18,0,8,0,-1.0,1
15546,Q,20,0,9,0,-1.0,1
15547,K,20,0,20,0,0.0,0
15548,2,21,0,10,0,-1.0,1
15549,2,17,0,11,0,-1.0,1
15550,A,21,0,19,0,-1.0,1
15551,A,17,0,12,0,-1.0,1
15552,3,18,0,13,0,-1.0,1
15553,4,24,1,8,1,1.0,1
15554,8,20,0,18,0,-1.0,1
15555,A,20,0,8,0,-1.0,1
15556,10,20,0,20,0,0.0,0
15557,4,17,0,20,0,1.0,0
15558,10,20,0,6,0,-1.0,1
15559,10,21,0,11,0,-1.0,1
15560,9,17,0,13,0,-1.0,1
15561,K,19,0,13,0,-1.0,1
15562,6,20,0,9,0,-1.0,1
15563,2,17,0,18,0,1.0,0
15564,3,19,0,12,0,-1.0,1
15565,7,17,0,17,0,0.0,0
15566,Q,23,1,4,1,1.0,1
15567,7,18,0,14,0,-1.0,1
15568,9,19,0,18,0,-1.0,1
15569,K,24,1,11,0,1.0,0
15570,9,21,0,19,0,-1.0,1
15571,K,20,0,5,1,-1.0,0
15572,J,18,0,15,0,-1.0,1
15573,8,26,1,14,0,1.0,0
15574,A,19,0,5,1,-1.0,0
15575,5,22,1,17,0,1.0,0
15576,A,21,0,13,0,-1.0,1
15577,4,21,0,7,0,-1.0,1
15578,4,20,0,21,0,1.0,0
15579,10,20,0,16,0,-1.0,1
15580,6,21,0,12,0,-1.0,1
15581,4,22,1,14,0,1.0,0
15582,A,20,0,15,0,-1.0,1
15583,J,19,0,14,0,-1.0,1
15584,6,22,1,17,0,1.0,0
15585,5,18,0,12,0,-1.0,1
15586,7,17,0,19,0,1.0,0
15587,J,20,0,21,0,1.0,0
15588,6,22,1,15,0,1.0,0
15589,K,20,0,14,0,-1.0,1
15590,4,19,0,13,0,-1.0,1
15591,K,19,0,15,0,-1.0,1
15592,6,18,0,14,0,-1.0,1
15593,J,20,0,18,0,-1.0,1
15594,10,17,0,18,0,1.0,0
15595,5,18,0,14,0,-1.0,1
15596,5,19,0,21,0,1.0,0
15597,J,21,0,12,0,-1.0,1
15598,6,26,1,18,0,1.0,0
15599,3,24,1,18,0,1.0,0
15600,5,23,1,16,0,1.0,0
15601,7,17,0,19,0,1.0,0
15602,J,17,0,15,0,-1.0,1
15603,3,22,1,17,0,1.0,0
15604,7,17,0,14,0,-1.0,1
15605,5,26,1,21,0,1.0,0
15606,7,19,0,13,0,-1.0,1
15607,7,21,0,15,0,-1.0,1
15608,5,20,0,9,0,-1.0,1
15609,10,24,1,19,0,1.0,0
15610,3,19,0,18,0,-1.0,1
15611,5,24,1,16,0,1.0,0
15612,9,24,1,12,0,1.0,0
15613,5,22,1,10,1,1.0,1
15614,K,24,1,12,0,1.0,0
15615,8,18,0,21,0,1.0,0
15616,K,20,0,9,0,-1.0,1
15617,9,22,1,20,0,1.0,0
15618,Q,21,0,13,0,-1.0,1
15619,9,20,0,10,0,-1.0,1
15620,6,22,1,16,0,1.0,0
15621,8,17,0,10,0,-1.0,1
15622,K,20,0,13,0,-1.0,1
15623,3,19,0,18,0,-1.0,1
15624,Q,20,0,9,1,-1.0,0
15625,10,18,0,14,0,-1.0,1
15626,7,22,1,18,0,1.0,0
15627,7,20,0,21,0,1.0,0
15628,10,20,0,16,0,-1.0,1
15629,4,22,1,13,0,1.0,0
15630,10,20,0,19,0,-1.0,1
15631,K,21,0,19,0,-1.0,1
15632,5,20,0,20,0,0.0,0
15633,A,21,0,16,0,-1.0,1
15634,J,20,0,20,0,0.0,0
15635,7,26,1,14,0,1.0,0
15636,3,21,0,18,0,-1.0,1
15637,Q,17,0,17,0,0.0,0
15638,J,20,0,19,0,-1.0,1
15639,4,26,1,19,0,1.0,0
15640,A,17,0,14,0,-1.0,1
15641,6,21,0,21,0,0.0,0
15642,Q,20,0,10,0,-1.0,1
15643,2,20,0,15,0,-1.0,1
15644,2,25,1,20,0,1.0,0
15645,3,20,0,12,0,-1.0,1
15646,5,18,0,18,0,0.0,0
15647,4,22,1,20,0,1.0,0
15648,9,19,0,9,1,0.0,1
15649,3,26,1,18,0,1.0,0
15650,K,21,0,10,0,-1.0,1
15651,9,19,0,13,0,-1.0,1
15652,7,21,0,13,0,-1.0,1
15653,2,21,0,16,0,-1.0,1
15654,5,23,1,18,0,1.0,0
15655,K,24,1,20,0,1.0,0
15656,6,20,0,20,0,0.0,0
15657,3,23,1,21,0,1.0,0
15658,7,19,0,12,0,-1.0,1
15659,10,25,1,12,0,1.0,0
15660,5,17,0,21,0,1.0,0
15661,8,19,0,13,0,-1.0,1
15662,J,18,0,17,0,-1.0,1
15663,10,20,0,13,0,-1.0,1
15664,3,26,1,17,0,1.0,0
15665,6,24,1,19,0,1.0,0
15666,5,26,1,20,0,1.0,0
15667,A,20,0,21,0,1.0,0
15668,5,24,1,13,0,1.0,0
15669,A,21,0,19,0,-1.0,1
15670,5,23,1,12,0,1.0,0
15671,5,18,0,16,0,-1.0,1
15672,K,20,0,18,0,-1.0,1
15673,9,26,1,20,0,1.0,0
15674,2,22,1,15,0,1.0,0
15675,Q,20,0,14,0,-1.0,1
15676,10,20,0,9,1,-1.0,0
15677,J,26,1,13,0,1.0,0
15678,8,21,0,17,0,-1.0,1
15679,9,17,0,9,0,-1.0,1
15680,4,20,0,12,0,-1.0,1
15681,9,19,0,16,0,-1.0,1
15682,3,23,1,13,0,1.0,0
15683,K,20,0,20,0,0.0,0
15684,A,21,0,20,0,-1.0,1
15685,Q,17,0,13,0,-1.0,1
15686,8,20,0,13,0,-1.0,1
15687,Q,25,1,8,1,1.0,1
15688,Q,21,0,20,0,-1.0,1
15689,K,23,1,12,0,1.0,0
15690,6,18,0,12,0,-1.0,1
15691,5,23,1,15,0,1.0,0
15692,Q,20,0,12,0,-1.0,1
15693,10,20,0,14,0,-1.0,1
15694,J,18,0,21,0,1.0,0
15695,K,17,0,20,0,1.0,0
15696,4,24,1,16,0,1.0,0
15697,8,17,0,13,0,-1.0,1
15698,Q,22,1,15,0,1.0,0
15699,2,19,0,17,0,-1.0,1
15700,10,20,0,12,0,-1.0,1
15701,10,25,1,21,0,1.0,0
15702,J,24,1,20,0,1.0,0
15703,5,24,1,10,0,1.0,0
15704,8,17,0,13,0,-1.0,1
15705,J,18,0,17,0,-1.0,1
15706,2,20,0,19,0,-1.0,1
15707,9,18,0,21,0,1.0,0
15708,A,21,0,20,0,-1.0,1
15709,Q,18,0,18,0,0.0,0
15710,6,18,0,17,0,-1.0,1
15711,7,17,0,15,0,-1.0,1
15712,K,17,0,19,0,1.0,0
15713,6,19,0,19,0,0.0,0
15714,10,18,0,20,0,1.0,0
15715,6,19,0,18,0,-1.0,1
15716,4,23,1,20,0,1.0,0
15717,A,21,0,20,0,-1.0,1
15718,6,22,1,17,0,1.0,0
15719,3,20,0,20,0,0.0,0
15720,4,21,0,8,0,-1.0,1
15721,A,18,0,14,0,-1.0,1
15722,3,24,1,19,0,1.0,0
15723,Q,18,0,15,0,-1.0,1
15724,2,21,0,15,0,-1.0,1
15725,5,23,1,16,0,1.0,0
15726,3,23,1,15,0,1.0,0
15727,A,19,0,18,0,-1.0,1
15728,8,17,0,16,0,-1.0,1
15729,5,22,1,9,1,1.0,1
15730,K,18,0,12,0,-1.0,1
15731,Q,20,0,9,1,-1.0,0
15732,A,23,1,20,0,1.0,0
15733,7,18,0,10,1,-1.0,0
15734,9,17,0,10,1,0.0,1
15735,10,20,0,12,0,-1.0,1
15736,Q,17,0,16,0,-1.0,1
15737,6,17,0,13,0,-1.0,1
15738,3,18,0,12,0,-1.0,1
15739,J,20,0,18,0,-1.0,1
15740,8,18,0,21,0,1.0,0
15741,5,24,1,20,0,1.0,0
15742,3,23,1,6,0,1.0,0
15743,8,24,1,16,0,1.0,0
15744,2,25,1,15,0,1.0,0
15745,9,19,0,15,0,-1.0,1
15746,Q,18,0,15,0,-1.0,1
15747,A,20,0,13,0,-1.0,1
15748,10,22,1,17,0,1.0,0
15749,8,19,0,14,0,-1.0,1
15750,2,22,1,17,0,1.0,0
15751,2,22,1,17,0,1.0,0
15752,Q,20,0,18,0,-1.0,1
15753,5,21,0,11,1,-1.0,0
15754,4,18,0,21,0,1.0,0
15755,3,18,0,18,0,0.0,0
15756,2,26,1,21,0,1.0,0
15757,5,20,0,20,0,0.0,0
15758,J,19,0,16,0,-1.0,1
