,dealer_card,dealer_value,dealer_bust,init_hand,hit,result,outcome
170,K,19,0,8,1,-1.0,0
171,4,18,0,21,0,1.0,0
172,9,17,0,14,0,-1.0,1
173,A,21,0,21,0,0.0,0
174,8,21,0,18,0,-1.0,1
175,9,21,0,10,0,-1.0,1
176,9,19,0,21,0,1.0,0
177,K,20,0,15,0,-1.0,1
178,A,18,0,15,0,-1.0,1
179,9,21,0,14,0,-1.0,1
180,5,25,1,13,0,1.0,0
181,9,26,1,16,0,1.0,0
182,3,17,0,19,0,1.0,0
183,7,21,0,15,0,-1.0,1
184,9,19,0,11,0,-1.0,1
185,8,19,0,11,1,1.0,1
186,7,18,0,13,0,-1.0,1
187,A,17,0,13,0,-1.0,1
188,Q,19,0,11,0,-1.0,1
189,A,21,0,13,0,-1.0,1
190,J,20,0,20,0,0.0,0
191,7,17,0,14,0,-1.0,1
192,Q,20,0,20,0,0.0,0
193,4,17,0,14,0,-1.0,1
194,7,17,0,21,0,1.0,0
195,A,19,0,20,0,1.0,0
196,J,20,0,9,0,-1.0,1
197,6,20,0,18,0,-1.0,1
198,A,19,0,18,0,-1.0,1
199,2,17,0,21,0,1.0,0
200,3,21,0,20,0,-1.0,1
201,6,26,1,19,0,1.0,0
202,Q,18,0,16,0,-1.0,1
203,7,17,0,7,1,-1.0,0
204,3,18,0,14,0,-1.0,1
205,5,24,1,15,0,1.0,0
206,3,19,0,19,0,0.0,0
207,Q,18,0,12,0,-1.0,1
208,K,20,0,16,0,-1.0,1
209,8,18,0,14,0,-1.0,1
210,K,20,0,14,0,-1.0,1
211,K,20,0,20,0,0.0,0
212,A,21,0,17,0,-1.0,1
213,A,21,0,19,0,-1.0,1
214,2,18,0,15,0,-1.0,1
215,3,24,1,21,0,1.0,0
216,3,19,0,10,0,-1.0,1
217,J,20,0,15,0,-1.0,1
218,J,20,0,17,0,-1.0,1
219,2,19,0,10,1,-1.0,0
220,5,22,1,12,0,1.0,0
221,J,20,0,16,0,-1.0,1
222,9,17,0,16,0,-1.0,1
223,8,18,0,6,0,-1.0,1
224,8,19,0,20,0,1.0,0
225,10,18,0,4,1,-1.0,0
226,9,26,1,6,0,1.0,0
227,5,18,0,10,0,-1.0,1
228,Q,21,0,15,0,-1.0,1
229,4,21,0,18,0,-1.0,1
230,9,19,0,18,0,-1.0,1
231,6,21,0,17,0,-1.0,1
232,2,23,1,14,0,1.0,0
233,A,21,0,17,0,-1.0,1
234,6,20,0,15,0,-1.0,1
235,5,18,0,7,1,-1.0,0
236,7,17,0,19,0,1.0,0
237,A,20,0,13,0,-1.0,1
238,K,19,0,14,0,-1.0,1
239,2,17,0,17,0,0.0,0
240,10,20,0,18,0,-1.0,1
241,Q,18,0,14,0,-1.0,1
242,6,19,0,20,0,1.0,0
243,3,19,0,12,0,-1.0,1
244,8,21,0,13,0,-1.0,1
245,8,25,1,15,0,1.0,0
246,J,20,0,16,0,-1.0,1
247,4,20,0,10,0,-1.0,1
248,A,20,0,19,0,-1.0,1
249,2,20,0,8,1,-1.0,0
250,3,22,1,16,0,1.0,0
251,9,24,1,16,0,1.0,0
252,7,17,0,16,0,-1.0,1
253,8,25,1,16,0,1.0,0
254,3,23,1,10,0,1.0,0
255,4,17,0,18,0,1.0,0
256,8,18,0,7,1,-1.0,0
257,K,24,1,13,0,1.0,0
258,A,20,0,13,0,-1.0,1
259,A,20,0,7,0,-1.0,1
260,6,17,0,21,0,1.0,0
261,9,19,0,14,0,-1.0,1
262,5,19,0,21,0,1.0,0
263,4,26,1,19,0,1.0,0
264,K,22,1,19,0,1.0,0
265,9,19,0,20,0,1.0,0
266,3,23,1,15,0,1.0,0
267,10,17,0,17,0,0.0,0
268,2,22,1,20,0,1.0,0
269,9,20,0,17,0,-1.0,1
270,K,17,0,20,0,1.0,0
271,J,20,0,15,0,-1.0,1
272,3,19,0,10,1,1.0,1
273,3,21,0,9,0,-1.0,1
274,3,20,0,12,0,-1.0,1
275,4,19,0,12,0,-1.0,1
276,2,22,1,13,0,1.0,0
277,5,21,0,15,0,-1.0,1
278,5,22,1,16,0,1.0,0
279,10,17,0,20,0,1.0,0
280,K,18,0,17,0,-1.0,1
281,K,25,1,21,0,1.0,0
282,5,25,1,13,0,1.0,0
283,K,20,0,14,0,-1.0,1
284,5,24,1,21,0,1.0,0
285,4,18,0,13,0,-1.0,1
286,3,25,1,17,0,1.0,0
287,5,21,0,18,0,-1.0,1
288,J,23,1,12,0,1.0,0
289,5,21,0,12,0,-1.0,1
290,9,22,1,16,0,1.0,0
291,8,22,1,14,0,1.0,0
292,J,18,0,14,0,-1.0,1
293,6,22,1,15,0,1.0,0
294,7,23,1,14,0,1.0,0
295,8,18,0,9,1,1.0,1
296,3,19,0,9,1,-1.0,0
297,10,18,0,13,0,-1.0,1
298,9,19,0,11,0,-1.0,1
299,Q,20,0,10,0,-1.0,1
300,4,24,1,19,0,1.0,0
301,2,19,0,20,0,1.0,0
302,8,23,1,6,0,1.0,0
303,Q,20,0,18,0,-1.0,1
304,A,21,0,16,0,-1.0,1
305,9,19,0,8,1,-1.0,0
306,K,20,0,16,0,-1.0,1
307,2,22,1,14,0,1.0,0
308,Q,20,0,12,0,-1.0,1
309,J,19,0,18,0,-1.0,1
310,J,17,0,16,0,-1.0,1
311,A,21,0,21,0,0.0,0
312,2,17,0,17,0,0.0,0
313,4,22,1,20,0,1.0,0
314,5,20,0,8,1,-1.0,0
315,2,21,0,20,0,-1.0,1
